,Real Name,Birthplace,Date of Birth,Debut,Date of Death,wrestler_name,Weight and Height,Weight,Height
1012,Steven Lyle Doll,"Dallas, Texas (United States of America)",9th December 1960,??th May 1985,22nd March 2009,Steve Doll,240 lbs. (109 kg) at 6'0'' (1.83 m),,
2735,Lanny N. Kean,United States of America,19th September 1960,,13th January 2009,Moondog Cujo,,,
5020,Yukihide Matsuno,"Fukushima, Fukushima (Japan)",18th April 1961 (age 60),1st October 2001 (20 years ago),,Gorgeous Matsuno,165 lbs. (75 kg) at 5'11'' (1.80 m),,
5165,unknown,"Huejotzingo, Puebla (Mexico)",27th June 1969 (age 52),1999,,Mije,71 lbs. (32 kg) at 3'7'' (1.09 m),,
8060,David Lauridsen,"Randers, Midtjylland (Denmark)",,30th November 2007 (14 years ago),,Big D,220 lbs. (100 kg) at 6'2'' (1.88 m),,
9170,Robert Ross Jr.,,15th January 1959 (age 63),10th August 1986 (35 years ago),,Ranger Ross,225 lbs. (102 kg) at 6'0'' (1.83 m),,
9394,Gary Goodridge,Trinidad and Tobago,17th January 1966 (age 56),16th February 1996 (26 years ago),,Gary Goodridge,240 lbs. (109 kg) at 6'3'' (1.91 m),,
418,Zachary Gowen,"Livonia, Michigan (United States of America)",30th March 1983 (age 38),16th March 2002 (19 years ago),,Zach Gowen,169 lbs. (77 kg) at 5'11'' (1.80 m),,
158,Harold Hoag,"Detroit, Michigan (United States of America)",13th November 1967 (age 54),1990,,MI Smooth,315 lbs. (143 kg) at 6'2'' (1.88 m),,
2872,Dirk Hadameck,"Weinheim, Baden-Württemberg (Germany)",20th January 1978 (age 44),,,Dircor,300 lbs. (136 kg) at 5'9'' (1.75 m),,
2915,Norma Martínez,"San Cristóbal Ecatepec de Morelos, Estado de México (Mexico)",23rd April 1978 (age 43),,,La Comandante ,198 lbs. (90 kg) at 5'9'' (1.75 m),,
4127,Karen Jarrett,"Pittsburgh, Pennsylvania (United States of America)",12th October 1972 (age 49),2nd August 2007 (14 years ago),,Karen Jarrett ,,,5'10'' (1.78 m)
1719,Phil Friedman,"New York City, New York (United States of America)",,,,James Bronson,270 lbs. (122 kg) at 6'3'' (1.91 m),,
1908,Ferrin Barr Jr.,"Salt Lake City, Utah (United States of America)",14th April 1959 (age 62),,,Jesse Barr,242 lbs. (110 kg) at 6'0'' (1.83 m),,
1089,Michel Lamarche,"Saint-LinLaurentides, Quebec (Canada)",9th February 1947,1969,5th January 2019,Alexis Smirnoff,255 lbs. (116 kg) at 6'3'' (1.91 m),,
1985,Russell Payne Jr.,"Massillon, Ohio (United States of America)",1976,1998,,BJ Payne,245 lbs. (111 kg) at 6'1'' (1.85 m),,
6709,Jayne Hansford,"Weymouth, Dorset, England (United Kingdom)",10th May 1962 (age 59),16th August 1977 (44 years ago),,Klondyke Kate ,293 lbs. (133 kg) at 5'4'' (1.63 m),,
189,Tom Marquez,,,1996,,Tom Marquez,240 lbs. (109 kg) at 5'9'' (1.75 m),,
2096,William Kevin Vaughn,"Arlington, Texas (United States of America)",1959,1984,,Lance Von Erich,265 lbs. (120 kg) at 6'2'' (1.88 m),,
2523,David Ramin,Germany,,,,Tyrant,210 lbs. (95 kg) at 5'10'' (1.78 m),,
2841,Mike Becherer,"Campbell River, British Columbia (Canada)",28th April 1983 (age 38),15th September 2001 (20 years ago),,Eddie Osbourne,233 lbs. (106 kg) at 5'11'' (1.80 m),,
5552,unknown,"New York City, New York (United States of America)",,,,Grim Reefer,170 lbs. (77 kg) at 5'9'' (1.75 m),,
5774,unknown,"Birmingham, West Midlands, England (United Kingdom)",1987,,21st May 2008,Tommy White,218 lbs. (99 kg) at 6'2'' (1.88 m),,
6318,Amy Zidian,"Orlando, Florida (United States of America)",??th October 1985,2006,,Amy Zidian,,,5'9'' (1.75 m)
6825,Poul Roest,"Randers, Midtjylland (Denmark)",4th June 1972 (age 49),,,Mr. PPV,,,6'2'' (1.88 m)
7900,unknown,"Beverly Hills, California (United States of America)",21st November 1980 (age 41),2001,,Miss Holly Wood ,,,5'1'' (1.55 m)
8229,Richard Phillips,"Daytona Beach, Florida (United States of America)",7th January 1983,,22nd August 2020,Gerome Phillips,350 lbs. (159 kg) at 6'3'' (1.91 m),,
9233,Mike Whitehead,"Medford, Oregon (United States of America)",29th June 1981 (age 40),10th March 2001 (21 years ago),,Mike Whitehead,260 lbs. (118 kg) at 6'1'' (1.85 m),,
231,Ron Harris,"Nashville, Tennessee (United States of America)",23rd October 1961 (age 60),1987,,Ron Harris,280 lbs. (127 kg) at 6'5'' (1.96 m),,
10924,David Daniel Otunga,"Chicago, Illinois (United States of America)",7th April 1980 (age 41),20th March 2009 (12 years ago),,David Otunga,250 lbs. (113 kg) at 6'1'' (1.85 m),,
186,Lou D'Angeli,"Scarsdale, New York (United States of America)",,1995,,Lou E. Dangerously,200 lbs. (91 kg) at 5'7'' (1.70 m),,
12369,Brian Bary Jossie,Texas (United States of America),4th July 1977 (age 44),??th January 2008,,A.W.,220 lbs. (100 kg) at 6'2'' (1.88 m),,
3672,Xóchitl Leyva Sánchez,"Monterrey, Nuevo León (Mexico)",20th February 1973 (age 49),18th July 1993 (28 years ago),,Tiffany ,150 lbs. (68 kg) at 5'7'' (1.70 m),,
697,David Lugogo Sammartino,United States of America,26th September 1960 (age 61),1980,,David Sammartino,245 lbs. (111 kg) at 5'8'' (1.73 m),,
2307,Dylan Mark Postl,"Oshkosh, Wisconsin (United States of America)",29th May 1986 (age 35),2003,,Swoggle,115 lbs. (52 kg) at 4'4'' (1.32 m),,
1770,Mario González Lozano,"Torreón, Coahuila de Zaragoza (Mexico)",18th April 1969 (age 52),15th June 1988 (33 years ago),,Pimpinela Escarlata,189 lbs. (86 kg) at 5'9'' (1.75 m),,
18081,Christian Bruns,"Bocholt, Nordrhein-Westfalen (Germany)",16th December 1979 (age 42),,,Christian Bruns,,,
1809,unknown,Mexico,28th October 1971 (age 50),,,Axxel,189 lbs. (86 kg) at 5'9'' (1.75 m),,
712,Jesús Toral López,"Torreón, Coahuila de Zaragoza (Mexico)",7th January 1969 (age 53),??th January 1984,,Black Warrior,198 lbs. (90 kg) at 5'11'' (1.80 m),,
878,James Michael Rocha,"Chicago, Illinois (United States of America)",4th May 1970 (age 51),??th October 1991,,Jim Steele,275 lbs. (125 kg) at 6'4'' (1.93 m),,
2824,Mario Gurrola,"Monterrey, Nuevo León (Mexico)",31st January 1976 (age 46),26th July 1993 (28 years ago),,Hator,,187 lbs. (85 kg),
177,Donna Adamo,"New York City, New York (United States of America)",12th November 1970 (age 51),1998,,Elektra ,117 lbs. (53 kg) at 5'7'' (1.70 m),,
1952,Carlos Omar Cotto Cruz,Caguas (Puerto Rico),13th February 1980 (age 42),2000,,Chicano,220 lbs. (100 kg) at 6'0'' (1.83 m),,
2613,Niles Young,"Philadelphia, Pennsylvania (United States of America)",7th May 1982 (age 39),8th March 2003 (19 years ago),,Niles Young,203 lbs. (92 kg) at 6'0'' (1.83 m),,
7495,unknown,"Washington, District of Columbia (United States of America)",,,,Low Rider,175 lbs. (79 kg) at 5'8'' (1.73 m),,
17525,Brian McGhee,"New York City, New York (United States of America)",3rd February 1984 (age 38),2006,,Donovan Terrell,251 lbs. (114 kg) at 6'6'' (1.98 m),,
