,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
24079,Alfred Stuwe,"Berlin, Berlin (Germany)",4th April 1903,Alfred Stuwe,,,XXXX,,
24080,unknown,,,Max Vogtmann,,,,,
24081,unknown,"Wroclaw, Dolnoslaskie (Poland)",22nd July 1912,Fritz Unger,,,XXXX,,
24082,Nikolai Kopitschko,Ukraine,6th December 1899,Nicolaus Turoff,183 lbs. (83 kg) at 6'0'' (1.83 m),,22nd June 1978,,
24083,unknown,,,Bernhard Langguth,,,,,
24084,unknown,"Köln, Nordrhein-Westfalen (Germany)",1906,Willi Kuhn,,,??th June 1960,,
24085,Waclaw Badurski,"Dortmund, Nordrhein-Westfalen (Germany)",24th September 1902,Waclaw Badurski,,,31st May 1996,,
24086,unknown,,,Romeo Bukovac,,,,,
24087,unknown,,,Erwin Neumann ,,,,,
24088,unknown,,,Gorilla Cranston,,,,,
24089,unknown,,1928,Pierre Bernaert,,,23rd February 2012,,
24090,unknown,United Kingdom,,Jim Armstrong,,,,,
24091,unknown,,,Terry Downs,,,,,
24092,unknown,,,Bill Connor,,,,,
24093,unknown,,,Raoúl Saint Mars,,,,,
24094,Manoel Fullaondo Butron,Spain,,Manuel Fullaondo,,,,,
24095,unknown,Switzerland,,Charles Ding,,,,,
24096,unknown,,,Ludwig Sachs,,,,,
24097,unknown,"Berlin, Berlin (Germany)",,Max Köhler,,,,,
24098,unknown,,,Paul Kienscherf,,,,,
24099,unknown,,,Francois Berthod,,,,,
24100,unknown,,,Francois Rombouts,,,,,
24101,William Murphy,"Chicago, Illinois (United States of America)",1881,Max Bambula ,,,22nd April 1930,,
24102,Robert James Golsby,,,Rob G. Rock,220 lbs. (100 kg) at 5'8'' (1.73 m),31st January 1999 (23 years ago),9th June 2012,,
24103,unknown,"Göteborg, Västra Götalands (Sweden)",,Águila Roja,98 lbs. (44 kg) at 5'11'' (1.80 m),,,,
24104,unknown,"Malmö, Skåne (Sweden)",,Anderson,,2010,,,
24105,unknown,"Göteborg, Västra Götalands (Sweden)",,Bad Buddha,253 lbs. (115 kg) at 6'1'' (1.85 m),2004,,,
24106,unknown,Sweden,,Big Machine,,,,,
24107,unknown,"Malmö, Skåne (Sweden)",,Eddie Vega,,,,,
24108,unknown,"Västervik, Kalmar (Sweden)",,Ante Cimex,185 lbs. (84 kg) at 6'1'' (1.85 m),24th April 2010 (11 years ago),,,
24109,unknown,"Västervik, Kalmar (Sweden)",,Guldkalven,187 lbs. (85 kg) at 6'1'' (1.85 m),24th April 2010 (11 years ago),,,
24110,unknown,"Hudiksvall, Gävleborgs (Sweden)",,Hank Havoc,209 lbs. (95 kg) at 6'1'' (1.85 m),,,,
24111,unknown,"Malmö, Skåne (Sweden)",,Hot Topic,,,,,
24112,unknown,,18th June 1984 (age 37),Scotty Slade,,,,,
24113,unknown,,,Axel Krook,,,,,
24114,unknown,,,Karl Busser,,,??th February 1948,,
24115,unknown,"Matamoros, Tamaulipas (Mexico)",,Andraxx GS,123 lbs. (56 kg) at 5'6'' (1.68 m),??th May 2012,,,
24117,Marcus Spars,Hamburg (Germany),,Marcus Buchholz,,,,,
24118,Yusuke Kodama,"Tsuyama, Okayama (Japan)",22nd April 1987 (age 34),Yusuke Kodama,176 lbs. (80 kg) at 5'8'' (1.73 m),23rd April 2010 (11 years ago),,,
24119,unknown,Mexico,26th March 1985 (age 36),Erick Snake,201 lbs. (91 kg) at 5'7'' (1.70 m),25th July 2006 (15 years ago),,,
24125,Edward Ross,,6th May 1970,Haystacks Ross,,,24th April 2020,,
24126,unknown,Illinois (United States of America),,Mitch Blake,260 lbs. (118 kg) at 6'3'' (1.91 m),,,,
24127,unknown,Illinois (United States of America),,Rick Walsh,,,,,
24130,Humberto Reinoso,Argentina,,Caballero Rojo,,1959,16th June 2007,,
24131,unknown,Guerrero (Mexico),,Dragon Kid,,,,,
24132,unknown,Mexico,,Diestro,,,,,
24134,unknown,Illinois (United States of America),,Akuma Okoye,,,,,
24135,unknown,United States of America,,Atlas J. Horn,327 lbs. (148 kg) at 6'2'' (1.88 m),,,,
24137,unknown,"San José, California (United States of America)",6th October 1987 (age 34),Starr Venus ,,2008,,,
24138,unknown,"Norman, Oklahoma (United States of America)",28th March 1987 (age 34),Kyra Maya ,,,,,5'8'' (1.73 m)
24139,unknown,"Hinesville, Georgia (United States of America)",30th January ???,Bree Ann ,,,,,
24141,unknown,"Calhoun Falls, South Carolina (United States of America)",,Backwoods Brown,345 lbs. (156 kg) at 6'4'' (1.93 m),,,,
24142,unknown,,,Ali Bumaye,190 lbs. (86 kg) at 5'9'' (1.75 m),,,,
24143,unknown,New York (United States of America),,Ben Cruise,255 lbs. (116 kg) at 6'5'' (1.96 m),,,,
24144,unknown,United States of America,,Joe Firoz,,,,,
