,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
22824,unknown,Oklahoma (United States of America),,Running Wolf,,1989,,220 lbs. (100 kg),
22825,unknown,United States of America,,Blue Thunder,,2004,,,
22826,unknown,Tamaulipas (Mexico),24th December ???,Curry Extreme,165 lbs. (75 kg) at 5'5'' (1.65 m),,,,
22827,Thomas H. Meek,"Mineral City, Ohio (United States of America)",23rd October 1940,Tom Meek,,,26th January 2012,,
22828,Quentin La'Trell Washington,"Charleston, South Carolina (United States of America)",7th December 1986,Quentin La'Trell Washington,,,20th January 2012,,
22829,unknown,"Los Angeles, California (United States of America)",13th November ???,Big Smooth,,1999,,450 lbs. (204 kg),
22830,unknown,,,Dennis Williams,170 lbs. (77 kg) at 5'6'' (1.68 m),,,,
22831,unknown,Yucatán (Mexico),,Fugitivo Maya,,,,,
22832,unknown,,,Joe Oraweicz,,,,,
22833,unknown,,,Oscar Holmberg,,,,,
22834,unknown,,,Johnny Boone,,,,,
22835,Phil Grueber,,,Jack Bell,,,,,
22836,unknown,"Ciudad de México, Ciudad de México (Mexico)",9th January 1987 (age 35),Rayan,190 lbs. (86 kg) at 6'3'' (1.91 m),??th January 2009,,,
22837,Raymond J. Nadeau,,1930,DeVince Carty,,1955,,,
22838,unknown,"Corpus Christi, Texas (United States of America)",,Rudy Russo,,2003,,,5'7'' (1.70 m)
22839,unknown,Ohio (United States of America),2nd January ???,Jeff Mayhem,,,,,
22840,unknown,Ohio (United States of America),,Troy Marcum,,3rd November 2001 (20 years ago),,,
22843,unknown,"Cardiff, Cardiff, Wales (United Kingdom)",,Jeff Cornell,,,,,
22845,unknown,United Kingdom,,Alexa Rose ,,,,,
22846,unknown,Mexico,17th March 1985 (age 36),Brazo Cibernético Jr.,,,,,
22850,Bernardo Magalhães,"Río de Janeiro, Río de Janeiro (Brazil)",4th August 1981 (age 40),Bernardo Magalhães,155 lbs. (70 kg) at 5'9'' (1.75 m),11th August 2007 (14 years ago),,,
22852,Tim Means,"Wilburton, Oklahoma (United States of America)",,Tim Means,155 lbs. (70 kg) at 6'2'' (1.88 m),13th March 2004 (18 years ago),,,
22853,Justin Salas,"Green River, Wyoming (United States of America)",,Justin Salas,155 lbs. (70 kg) at 5'8'' (1.73 m),13th May 2006 (15 years ago),,,
22854,Buddy Roberts,"Fort Worth, Texas (United States of America)",17th October 1982 (age 39),Buddy Roberts,185 lbs. (84 kg) at 6'2'' (1.88 m),3rd March 2007 (15 years ago),,,
22855,Wilfred Leslie Herbert,"Bradford, West Yorkshire, England (United Kingdom)",9th December 1918,Les Herberts,,,23rd June 1976,,
22856,Janos Czaja,,1887,Janos Czaja,,,1937,,
22857,unknown,Tamaulipas (Mexico),,Máscara de Hierro,180 lbs. (82 kg) at 5'5'' (1.65 m),??th January 2011,,,
22858,unknown,"Matamoros, Tamaulipas (Mexico)",,Cougar Boy,190 lbs. (86 kg) at 5'7'' (1.70 m),1996,,,
22859,unknown,Tamaulipas (Mexico),,El Centinela,180 lbs. (82 kg) at 5'5'' (1.65 m),,,,
22860,unknown,Mexico,15th January 1964 (age 58),La Sombra,165 lbs. (75 kg) at 5'6'' (1.68 m),1984,,,
22861,unknown,Tamaulipas (Mexico),,La Sombra Jr.,143 lbs. (65 kg) at 5'5'' (1.65 m),2007,,,
22862,unknown,Tamaulipas (Mexico),,La Sombra #3,158 lbs. (72 kg) at 5'7'' (1.70 m),2007,,,
22863,unknown,Tamaulipas (Mexico),,La Sombra #4,132 lbs. (60 kg) at 5'3'' (1.60 m),2011,,,
22864,unknown,Tamaulipas (Mexico),,Guepardo,156 lbs. (71 kg) at 5'4'' (1.63 m),2000,,,
22865,unknown,Nuevo León (Mexico),1st February 1985 (age 37),Nuevo Caifán #2,,,,,
22866,Óscar González Carrillo,Mexico,,Hooligan #2,,2001,,,
22867,Rogelio de la Paz,Mexico,1931,La Sombra Vengadora,,1950,12th June 2020,,
22868,unknown,Spain,,Eduardo Bonada,,,,,
22869,unknown,"Jesús Carranza, Veracruz de Ignacio de la Llave (Mexico)",28th November 1930,Taro Hito,165 lbs. (75 kg) at 5'4'' (1.63 m),1950,28th February 1981,,
22870,Robert Mike,"Steubenville, Ohio (United States of America)",29th October 1923,Bob Mike,220 lbs. (100 kg) at 6'1'' (1.85 m),,XXXX,,
22871,unknown,Nuevo León (Mexico),,Rey Gladiador,,,,,
22872,unknown,"Guadalajara, Jalisco (Mexico)",30th October ???,Barracuda,,,,,
22873,Luis Alberto Villagómez Díaz,"Guadalajara, Jalisco (Mexico)",21st August 1994 (age 27),Willy Banderas,,,,,
22874,unknown,"Guadalajara, Jalisco (Mexico)",,Black Tod,,,,,
22875,unknown,"Guadalajara, Jalisco (Mexico)",15th November ???,Dreyko,,,,,
22878,Cezar Jesús Ferreira,"Ibitinga, São Paulo (Brazil)",15th February 1985 (age 37),Cezar Ferreira,185 lbs. (84 kg) at 6'1'' (1.85 m),29th April 2007 (14 years ago),,,
22879,unknown,"Las Vegas, Nevada (United States of America)",31st December 1988 (age 33),Chidi Njokuani,170 lbs. (77 kg) at 6'3'' (1.91 m),,,,
22880,unknown,"Calgary, Alberta (Canada)",26th May 1981 (age 40),Mike Hart,,2001,,205 lbs. (93 kg),
22881,Matthew Aryan Dean Herweg,Alberta (Canada),28th January 1993 (age 29),Matt Hart,,2012,,,5'11'' (1.80 m)
22882,Israel Hernández Luna,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",21st September 1987 (age 34),Peligro,,29th March 2005 (16 years ago),,,
22883,unknown,Veracruz de Ignacio de la Llave (Mexico),,As del Espacio,,,,,
22885,Rafael Alvarado,Puebla (Mexico),1972,Rey Pantera,,1998,,,
22886,unknown,Veracruz de Ignacio de la Llave (Mexico),,El Caballero Negro,,,,,
22888,unknown,"Tijuana, Baja California (Mexico)",27th November 1995 (age 26),Flyer Boy,,,,,
22889,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",28th September 1990 (age 31),Último Corsario,,,,,
22890,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",1st August ???,Perro Mocho Jr.,,,,,
22891,Hubert Gensheimer,,,Hubert Gensheimer,,,12th March 1977,,
22892,Daniel Bolton,Australia,21st April ???,Sonny Elliot,,,,,6'1'' (1.85 m)
22893,Francisco Luna,Veracruz de Ignacio de la Llave (Mexico),,Cosmos,,2000,,,
22894,unknown,"Ciudad de México, Ciudad de México (Mexico)",,Payaso del Infierno,,,,,
22895,unknown,Mexico,13th November 1987 (age 34),El Demasiado,,,,,
22896,unknown,,,Paul Möbus,,,16th March 1971,,
22897,Wilhelm Stalling,"Bremerhaven, Bremen (Germany)",1878,Wilhelm Stalling,,,11th August 1934,,
22898,unknown,,,Bruno Zimmermann,,,16th February 1991,,
22899,unknown,Veracruz de Ignacio de la Llave (Mexico),,Totem,,,,,
22900,unknown,Veracruz de Ignacio de la Llave (Mexico),,Rey Pantera Jr.,,,,,
22901,unknown,Veracruz de Ignacio de la Llave (Mexico),,El Caballero Negro Jr.,,,,,
22902,unknown,Mexico,,Dragón de Oro,,,,,
22903,Alberto Jiménez,"Heroica Cárdenas, Tabasco (Mexico)",,Zafiro,,2004,,,
22904,unknown,,,Ludwig Sesta,,,,,
22905,unknown,,,Rene Mathieu,,,,,
22906,unknown,Veracruz de Ignacio de la Llave (Mexico),,Aero Boy,,,,,
22907,unknown,Veracruz de Ignacio de la Llave (Mexico),,Planetario,,,,,
22908,unknown,Veracruz de Ignacio de la Llave (Mexico),,Tigre Cósmico,,,,,
22909,unknown,Veracruz de Ignacio de la Llave (Mexico),,Totem #2,,,,,
22910,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",25th October 1996 (age 25),Maximus,,17th October 2010 (11 years ago),,,
22911,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",17th January 1989 (age 33),El Pitufo,,,,,
22912,unknown,Veracruz de Ignacio de la Llave (Mexico),11th June 1983 (age 38),Rey Infierno,,,,,
22913,unknown,Veracruz de Ignacio de la Llave (Mexico),,Guerrero de la Noche,,,,,
22914,unknown,Veracruz de Ignacio de la Llave (Mexico),,El Clon,,,,,
22915,unknown,Veracruz de Ignacio de la Llave (Mexico),,Bucanero Infernal,,,,,
22916,unknown,Veracruz de Ignacio de la Llave (Mexico),,Mr. Fly,,,,,
22917,unknown,Veracruz de Ignacio de la Llave (Mexico),,Black Angel,,,,,
22918,unknown,Veracruz de Ignacio de la Llave (Mexico),,Thunder Kat,,,,,
22919,Christian Hernández,Veracruz de Ignacio de la Llave (Mexico),,Kraken,,2009,,,
22920,unknown,Veracruz de Ignacio de la Llave (Mexico),,Haragan,,,,,
22921,unknown,Arkansas (United States of America),26th May ???,Michael Duplanti,170 lbs. (77 kg) at 5'6'' (1.68 m),2008,,,
22922,unknown,"Las Vegas, Nevada (United States of America)",29th December ???,Billy Ray,195 lbs. (88 kg) at 5'11'' (1.80 m),1991,,,
22923,Kristy Cluxton,"Florence, Alabama (United States of America)",,Destiny ,145 lbs. (66 kg) at 5'6'' (1.68 m),,,,
22924,unknown,California (United States of America),,Aerial Star,170 lbs. (77 kg) at 5'7'' (1.70 m),,,,
22925,unknown,,,Ronnie Thrash,,,,,
22926,unknown,California (United States of America),,Diamond Azul,230 lbs. (104 kg) at 5'9'' (1.75 m),,,,
22927,unknown,"Nezahualcóyotl, Estado de México (Mexico)",,Nightmare Azteca,,,,,
22928,unknown,"Los Angeles, California (United States of America)",,Fern Owens,196 lbs. (89 kg) at 5'8'' (1.73 m),17th April 2010 (11 years ago),,,
22929,unknown,California (United States of America),,Bonnie Isle,,,,,
22931,Miguel Ángel Angulo Castro,Baja California (Mexico),1994,Fantastico,,2010,,,
22932,Giro Calderón,Hidalgo (Mexico),,El Invasor,,2001,,,
22933,unknown,Baja California (Mexico),,Dragón Chino,,,,,
22934,Daniel Ledesma,Mexico,26th September 1982 (age 39),Dhani Ledesma,,,,,
22935,Amanda Lucas,United States of America,1st July 1981 (age 40),Amanda Lucas ,155 lbs. (70 kg) at 5'4'' (1.63 m),31st May 2008 (13 years ago),,,
22936,unknown,Estado de México (Mexico),,Rey Justicia,,,,,
22937,unknown,Estado de México (Mexico),,Escorpión Blanco,,,,,
22938,unknown,Estado de México (Mexico),,Ukkonen,,,,,
22939,unknown,Estado de México (Mexico),,Morbius,,,,,
22940,unknown,"Ciudad de México, Ciudad de México (Mexico)",,Gato Montés,,,,,
22941,unknown,Estado de México (Mexico),,Rey Dinámico,,,,,
22942,unknown,Estado de México (Mexico),,Albatros,,,,,
22943,unknown,Estado de México (Mexico),,Agora,,,,,
22944,unknown,Estado de México (Mexico),,Rey Infierno,,,,,
22945,unknown,Estado de México (Mexico),,Aramís,,,,,
22946,unknown,Estado de México (Mexico),,Kid Shadow,,,,,
22947,unknown,Estado de México (Mexico),,Dragón Cósmico,,,,,
22948,unknown,Estado de México (Mexico),,Gander,,,,,
22949,Noé Ramírez Saucedo,"San Cristóbal Ecatepec de Morelos, Estado de México (Mexico)",1973,Nekir,,2005,,,
22950,unknown,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",16th November 1991 (age 30),Golden King,165 lbs. (75 kg) at 5'8'' (1.73 m),9th November 2008 (13 years ago),,,
22951,unknown,Querétaro Arteaga (Mexico),15th May 1997 (age 24),Gremlin,,,,,
22952,unknown,Mexico,,Eragon,,,,,
22953,unknown,"Salamanca, Guanajuato (Mexico)",9th November 1993 (age 28),Séptimo Dragón,163 lbs. (74 kg) at 5'7'' (1.70 m),27th April 2006 (15 years ago),,,
22954,unknown,Querétaro Arteaga (Mexico),,Lince,,,,,
22955,unknown,Querétaro Arteaga (Mexico),,Maligno Negro #1,,,,,
22956,unknown,Querétaro Arteaga (Mexico),,Maligno Negro #2,,,,,
22957,unknown,Mexico,,Abuelito,,,,,
22958,René Arriaga,"Ciudad de México, Ciudad de México (Mexico)",1986,Shika,,2003,,,
22959,unknown,Mexico,26th September 1984 (age 37),Dave the Clown,,,,,
22960,Olga Zepeda,"Hermosillo, Sonora (Mexico)",,Olga Zepeda ,138 lbs. (63 kg) at 5'3'' (1.60 m),,16th April 1964,,
22961,unknown,,9th January 1983 (age 39),Roxie Starr ,,,,,
22963,unknown,Tamaulipas (Mexico),28th May 1989 (age 32),Galaxi,157 lbs. (71 kg) at 5'7'' (1.70 m),2010,,,
22964,unknown,Tamaulipas (Mexico),,Arcángel #3,157 lbs. (71 kg) at 5'6'' (1.68 m),2002,,,
22965,Josef Rossum,"Wien, Wien (Austria)",,Josef Rossum,,1911,XXXX,,
22966,unknown,,,Dean Durango,,,,,
22967,unknown,Nuevo León (Mexico),,Águila Dorada Jr.,,,,,
22968,Arnold Ovando Castillo,"Tulancingo de Bravo, Hidalgo (Mexico)",29th May 1990 (age 31),Hardman,230 lbs. (104 kg) at 5'10'' (1.78 m),2010,,,
22969,unknown,Mexico,15th May ???,Rex Estampida,,,,,
22970,unknown,Baja California (Mexico),,Poseidon,,,,,
22972,unknown,Baja California (Mexico),,Zeus,,,,,
22973,Michael J. Grembowicz,"South Bend, Indiana (United States of America)",12th June 1987,Mike Lawson,,,15th November 2007,,
22974,unknown,"Bridgeville, Pennsylvania (United States of America)",,Grea Cingsley,,,,,
22975,unknown,Veracruz de Ignacio de la Llave (Mexico),,Poseidon,,,,,
22976,unknown,Veracruz de Ignacio de la Llave (Mexico),,Samuray,,,,,
22977,unknown,"Mazatlán, Sinaloa (Mexico)",13th August ???,Marvel,,,,,
22978,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",19th May 1987 (age 34),Linterna Verde,,,,,
22979,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",,Diamante Rojo Jr.,,,,,
22980,Luis Estiven León,Veracruz de Ignacio de la Llave (Mexico),,Extremo,,2011,,,
22981,unknown,Veracruz de Ignacio de la Llave (Mexico),21st August 1991 (age 30),Rey Dinámico,,,,,
22982,unknown,Veracruz de Ignacio de la Llave (Mexico),,Armagedon,,,,,
22983,unknown,Michigan (United States of America),1986,J. Miller,,,,,
22986,Josef Krumm,,,Urban Christoph,,,,,
22988,unknown,,,Willi Langenbach,,,,,
22989,unknown,,,Erich Brix-Kyriloff,,,,,
22990,unknown,,,Paul Belling,,,,,
22991,Helmut Kreisch,"Wroclaw, Dolnoslaskie (Poland)",30th July 1913,Helmut Kreisch,,,18th September 1951,,
22992,unknown,,,Thomas Bartkowiak,,,,,5'8'' (1.73 m)
22994,Alexandros Kostopoulous,Athína (Greece),30th March 1933 (age 88),Alex Kostopoulous,,,,,
22995,unknown,,,Franz Arnold,,,,,
22996,Ernesto Díaz Barceló,La Habana (Cuba),23rd September 1919 (age 102),El Rey Badú,,,,198 lbs. (90 kg),
22997,unknown,,,Charles Murray,,,,,
22998,unknown,,,Rudi Babka,,,,,
22999,unknown,,,Jean Adramanoff,,,,,
23000,Arvid Anderson,Sweden,22nd November 1873,Arvid Anderson,,,31st July 1954,,
23001,unknown,"Fresno, California (United States of America)",13th June ???,Jason Rose,185 lbs. (84 kg) at 5'5'' (1.65 m),??th January 2010,,,
23002,unknown,United States of America,,Josh la Rue,,,,,
23003,unknown,United States of America,25th February ???,Gene Valdez,,,,,
23004,unknown,"Hugo, Oklahoma (United States of America)",20th September ???,Kidd Riggs,,,,,
23005,unknown,,19th August ???,Mr. Big,456 lbs. (207 kg) at 5'11'' (1.80 m),1st March 2010 (12 years ago),,,
23007,unknown,"Dyersburg, Tennessee (United States of America)",19th April ???,Hillbilly,255 lbs. (116 kg) at 5'8'' (1.73 m),2010,,,
23008,Shawn Anderson,,,Damian Michaels,,,13th February 2012,,
23009,José César Amado,Hidalgo (Mexico),8th August 1981 (age 40),La Plaga,,,,,
23010,unknown,,,El Negro,,,,,
23011,unknown,Nuevo León (Mexico),,Alacrán,,,,,
23012,Dharam Prakash Bhojwani,India,29th August 1982,Chotu,,21st December 2011 (10 years ago),7th January 2012,,
23015,John M. Autenrieb,,1951,Johnny Diamond,,,11th February 2012,,
23016,unknown,,,Carl Dane,,,??th April 2008,,
23017,unknown,"Cuernavaca, Morelos (Mexico)",,Voltaje,,,,,
23018,unknown,Morelos (Mexico),,El Fuego Dorado,,,,,
23019,unknown,"Cuernavaca, Morelos (Mexico)",,Vector F22,,,,,
23020,Josue Piña Pérez,"Monterrey, Nuevo León (Mexico)",,Exterminio,,,,,
23021,Gustavo Domínguez Villegas,"Coronel, Región del Biobío (Chile)",31st August 1989 (age 32),Gustav EXE,165 lbs. (75 kg) at 5'8'' (1.73 m),23rd October 2010 (11 years ago),,,
23022,unknown,Guatemala,,Destroyer,,,,,
23023,unknown,,1979,Blue Dragon,225 lbs. (102 kg) at 5'10'' (1.78 m),14th November 2005 (16 years ago),,,
23024,unknown,,1986,Travis Fame,,,,,6'2'' (1.88 m)
23025,Jonathan Burton,"Syracuse, New York (United States of America)",,Jon Burton,,,,,
23026,unknown,Pennsylvania (United States of America),18th March ???,Jay Ice,195 lbs. (88 kg) at 5'8'' (1.73 m),,,,
23027,unknown,United States of America,2nd July 1988 (age 33),Tony Johnson,198 lbs. (90 kg) at 6'1'' (1.85 m),,,,
23028,unknown,"Miami Beach, Florida (United States of America)",,Jay Flash,175 lbs. (79 kg) at 5'11'' (1.80 m),2010,,,
23029,Maurice Gibbs,"Los Angeles, California (United States of America)",25th July 1992 (age 29),Chase Aaryons,,??th March 2011,,,
23030,Steve Vineyard,,,Steve Masters,,,,,
23031,unknown,Mexico,,José Luis Cocafuego,,,,,
23033,unknown,,,The Hooded Claw,,,,,
23034,Oli Thompson,"Hastings, East Sussex, England (United Kingdom)",2nd January 1980 (age 42),Oli Thompson,235 lbs. (107 kg) at 6'1'' (1.85 m),3rd April 2009 (12 years ago),,,
23035,Verónica Sánchez,Mexico,,Verónica ,,,,,
23036,unknown,,25th November 1977 (age 44),Christian Mascagni,,,,,
23038,Allen Razam,,17th May 1977 (age 44),Hawaii Allen,209 lbs. (95 kg) at 5'10'' (1.78 m),2004,,,
23039,unknown,"New York City, New York (United States of America)",29th May 1984 (age 37),Johnny Knockout,205 lbs. (93 kg) at 6'0'' (1.83 m),,,,
23042,Nick Penner,"Steinbach, Manitoba (Canada)",26th March 1980 (age 41),Nick Penner,205 lbs. (93 kg) at 6'4'' (1.93 m),24th August 2007 (14 years ago),,,
23044,Bristol Marunde,"Fairbanks, Alaska (United States of America)",20th April 1982 (age 39),Bristol Marunde,185 lbs. (84 kg) at 6'1'' (1.85 m),14th May 2005 (16 years ago),,,
23045,Lumumba Sayers,"Denver, Colorado (United States of America)",,Lumumba Sayers,185 lbs. (84 kg) at 6'0'' (1.83 m),30th October 2009 (12 years ago),,,
23046,Joe Ellenberger,"Omaha, Nebraska (United States of America)",28th March 1985 (age 36),Joe Ellenberger,155 lbs. (70 kg) at 5'8'' (1.73 m),9th April 2005 (16 years ago),,,
23048,unknown,"Norman, Oklahoma (United States of America)",15th July ???,Frankie Dee ,,13th October 2007 (14 years ago),,,5'3'' (1.60 m)
23050,unknown,,,Ravn,132 lbs. (60 kg) at 5'7'' (1.70 m),,,,
23052,unknown,"Torreón, Coahuila de Zaragoza (Mexico)",16th July 1992 (age 29),Agatha,141 lbs. (64 kg) at 5'6'' (1.68 m),26th June 2011 (10 years ago),,,
23053,unknown,"Gómez Palacio, Durango (Mexico)",2nd December 1985 (age 36),El Escriba Jr.,,,,,
23054,unknown,Coahuila de Zaragoza (Mexico),,El Escriba,,,,,
23056,unknown,La Habana (Cuba),,Rocko,,,,,
23057,unknown,Mexico,7th November 1980 (age 41),Oso Negro,,,,,
23058,unknown,,,Frank Zerega,,,,,
23059,unknown,"Düsseldorf, Nordrhein-Westfalen (Germany)",,Willi Kloth,,,,,
23061,Saqib Mehmood,"Glasgow, Glasgow, Scotland (United Kingdom)",4th May 1990 (age 31),Saqib Ali,170 lbs. (77 kg) at 5'10'' (1.78 m),25th July 2010 (11 years ago),,,
23062,William Thomas Weathers Jr.,,1941,Tommy Weathers,,,6th March 2012,,
23063,unknown,,,Charles Jones,,,,,
23064,William Mitchell,Vilnius (Lithuania),24th January 1892,Cyclone Mitchell,,,??th March 1977,,
23065,Carl Francis Zoll,"Howard, Wisconsin (United States of America)",29th January 1899,Carl Zoll,235 lbs. (107 kg) at 5'10'' (1.78 m),,19th October 1973,,
23067,Roy Otto Graf Von Hellrigel,"Peoria, Illinois (United States of America)",16th January 1910,Roy Von Hellrigel,,,16th August 1996,,
23069,Jessie Constantine Elder,Illinois (United States of America),21st January 1888,Jess Elder,,,9th February 1963,175 lbs. (79 kg),
23070,unknown,Mexico,,Nany ,,,,,
23071,unknown,Mexico,,Águila de Acero,194 lbs. (88 kg) at 5'8'' (1.73 m),,,,
23072,Ramón Pérez,Mexico,,Águila Salvaje,285 lbs. (129 kg) at 5'9'' (1.75 m),1986,,,
23073,unknown,Mexico,19th November 1976 (age 45),Black Scorpion,200 lbs. (91 kg) at 5'7'' (1.70 m),2010,,,
23075,unknown,Mexico,,El Árabe Jr.,,,,,
23076,unknown,Mexico,6th October 1986 (age 35),Drako,,,,,
23077,unknown,"Gómez Palacio, Durango (Mexico)",,Camorra Jr.,,,,,
23078,unknown,"Gómez Palacio, Durango (Mexico)",,Detector Jr.,,,,,
23079,unknown,"Gómez Palacio, Durango (Mexico)",21st April ???,Fénix,,,,,
23080,Barbara Charlton Foreman,"Kinmundy, Illinois (United States of America)",10th August 1966 (age 55),Lady Vendetta,145 lbs. (66 kg) at 5'4'' (1.63 m),??th March 1992,,,
23081,unknown,,,Nick Adams,,,,,
23082,unknown,,23rd September 1965 (age 56),Rusty Riddle,,1986,,,
23083,unknown,"Monterrey, Nuevo León (Mexico)",,Black Animal,,16th April 2009 (12 years ago),,,
23087,"Century Allen ""Wally"" Milstead",Pennsylvania (United States of America),1st January 1901,Century Milstead,,,2nd June 1963,,
23088,Ernest L. Cuneo,"Carlstadt, New Jersey (United States of America)",27th May 1905,Ernest Cuneo,,,1st March 1988,,
23089,unknown,Guatemala,,Violencia,,,,,
23090,unknown,Guatemala,,El Aspirante,,,,,
23091,unknown,Guatemala,,El Brujo,,,,,
23092,unknown,Mexico,,Lacandón #2,,,,,
23093,unknown,Nuevo León (Mexico),,El Rudo,,,,,
23094,unknown,"Monterrey, Nuevo León (Mexico)",25th February 1996 (age 26),Red Flamer Jr.,,,,,
23095,unknown,"San Luis Obispo, California (United States of America)",,Sledge,240 lbs. (109 kg) at 6'4'' (1.93 m),26th August 2011 (10 years ago),,,
23096,Jason Turner,"Lompoc, California (United States of America)",22nd January 1985 (age 37),JD Horror,240 lbs. (109 kg) at 6'0'' (1.83 m),??th January 2011,,,
23097,unknown,"Cabo San Lucas, Baja California Sur (Mexico)",,Tenchismo,,,,,
23098,unknown,,,Bob Emory,,,,,
23100,"Henry ""Harry"" Fields",,1911,Harry Fields,,,19th October 1986,,
23103,unknown,,,Fritz Hanson,,,,,
23104,Robert M. Leith,,,Bob Keith,,,,,
23105,Edward King Jr.,"Folcroft, Pennsylvania (United States of America)",14th November 1911,Eddie King,205 lbs. (93 kg) at 6'0'' (1.83 m),,12th October 1981,,
23106,unknown,,,Joe Greene,,1945,,,
23107,Felipe Miguel Pino Briceño,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",17th December 1982 (age 39),Súper Gemelo #1,176 lbs. (80 kg) at 6'0'' (1.83 m),2002,,,
23108,Vladimir Alfonso Pino Briceño,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",17th December 1982 (age 39),Súper Gemelo #2,154 lbs. (70 kg) at 5'7'' (1.70 m),2002,,,
23109,unknown,,,Ed McNeil,,,,,
23110,Stephen Passas,Turkey,27th September 1896,Steve Passas,195 lbs. (88 kg) at 5'8'' (1.73 m),,15th December 1986,,
23111,George Washington Bailey,"Cavendish, Vermont (United States of America)",4th October 1882,Farmer Bailey,,,31st August 1950,,5'9'' (1.75 m)
23112,Zachary Conner,,,Zac Conner,,,,,
23114,unknown,United States of America,,Frank Cody,,,,,
23115,unknown,"Reading, Pennsylvania (United States of America)",,Moondog Ravage,,,,,
23116,Christopher Williams,"Chicago, Illinois (United States of America)",1st April 1983 (age 38),Chris Logan,,,,,
23117,unknown,,,Johnny Zawislan,,20th January 1937 (85 years ago),,,
23118,unknown,"Elizabeth, Pennsylvania (United States of America)",,Tyler Stone,200 lbs. (91 kg) at 5'11'' (1.80 m),2010,,,
23121,unknown,,,Harley,345 lbs. (156 kg) at 6'4'' (1.93 m),,,,
23122,Joaquín Ignacio Moraga Cancino,Chile,,Don Rhada,163 lbs. (74 kg) at 5'7'' (1.70 m),2004,,,
23123,unknown,Chile,,Trox,,2000,,,
23126,unknown,"Gillingham, Kent, England (United Kingdom)",3rd November 1985 (age 36),John Everyman,305 lbs. (138 kg) at 6'5'' (1.96 m),2009,,,
23127,unknown,"Cary, Illinois (United States of America)",,Nikki St. John ,139 lbs. (63 kg) at 5'8'' (1.73 m),15th January 2010 (12 years ago),,,
23128,Rodolfo R. Navarro,"Tucson, Arizona (United States of America)",20th July 1933,Rudy Navarro,,,27th March 2004,,
23129,unknown,,,Pete Pompeii,,,,,
23130,Samantha Tavel,"Ronkonkoma, New York (United States of America)",16th April 1992 (age 29),Candy Cartwright ,115 lbs. (52 kg) at 5'3'' (1.60 m),2010,,,
23131,unknown,,,Tom Galbos,,,,,
23132,Leslie Allen Grimes,"Clifton, Queensland (Australia)",9th July 1906,Les Grimes,,,14th November 1968,,
23133,unknown,,,Charley Lehman,,,,,
23134,Cecil Ray McDonald,United States of America,21st December 1946,Chuck Malone,,,19th January 1999,,
23135,unknown,California (United States of America),,Mario Banks,,,,,
23136,unknown,"Los Angeles, California (United States of America)",,Sam Knight,,,,,
23137,unknown,,,Gerard Turenne,,,,,
23138,Leonard Miller,,,Len Miller,,,2020,,
23139,Thomas C. Marlin,"Nashville, Tennessee (United States of America)",11th January 1933,Tommy Marlin,,,24th January 2018,,
23141,unknown,Oklahoma (United States of America),17th July ???,Jerry Bostic,203 lbs. (92 kg) at 6'2'' (1.88 m),??th August 2006,,,
23142,unknown,"Compton, California (United States of America)",20th March ???,D Money,235 lbs. (107 kg) at 5'11'' (1.80 m),26th October 2006 (15 years ago),,,
23143,unknown,"Dallas, Texas (United States of America)",9th December ???,K-Ro,225 lbs. (102 kg) at 5'8'' (1.73 m),25th September 2011 (10 years ago),,,
23144,unknown,"Ciudad de México, Ciudad de México (Mexico)",25th June ???,Águila Solitaria Jr.,194 lbs. (88 kg) at 5'10'' (1.78 m),17th July 2011 (10 years ago),,,
23145,unknown,United States of America,1985,Gurkha Singh,,,,,
23146,unknown,"Lubbock, Texas (United States of America)",4th September 1985 (age 36),Shawn Mills,209 lbs. (95 kg) at 5'10'' (1.78 m),2005,,,
23147,unknown,"Dallas, Texas (United States of America)",14th October ???,Jastin Taylor,,,,224 lbs. (102 kg),
23148,unknown,"Las Vegas, Nevada (United States of America)",12th November 1985 (age 36),Austin Riley,145 lbs. (66 kg) at 5'10'' (1.78 m),2004,,,
23149,Matthew Riley,,25th February 1984 (age 38),Zane Riley,300 lbs. (136 kg) at 6'0'' (1.83 m),,,,
23151,unknown,"Midland, Texas (United States of America)",3rd October 1989 (age 32),Ryan Justice,180 lbs. (82 kg) at 5'10'' (1.78 m),9th May 2009 (12 years ago),,,
23152,Jeb Bingham,"Midland, Texas (United States of America)",1988,WildCard,200 lbs. (91 kg) at 6'1'' (1.85 m),,,,
23153,unknown,,,Alf Jenkins,,,,,
23154,unknown,France,,Abis Abis,397 lbs. (180 kg) at 6'2'' (1.88 m),2008,,,
