,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
3988,Robert Hans Hermann,,"Brookline, Massachusetts (United States of America)",4th June 1915,,Hans Hermann,9th June 1980,,
3989,Hans Krönert,,,1st December 1907,,Stanley Wyckoff,23rd September 1990,,
3990,William J. Cobb,,"Macon, Georgia (United States of America)",16th July 1926,1951,Happy Humphrey,14th March 1989,,750 lbs. (340 kg)
3991,Harry Finkelstein,,"Boston, Massachusetts (United States of America)",21st February 1909,,Harry Lewis,1972,,
3994,unknown,,,,,R.A.G.E,,,
3995,Abe Kelmer,220 lbs. (100 kg) at 5'4'' (1.63 m),"Zychlin, Lódzkie (Poland)",20th September 1905,1927,Abe Coleman,28th March 2007,,
3996,Marcel Manka,,"Oberhausen, Nordrhein-Westfalen (Germany)",15th July 1986 (age 35),,Marcel Manka,,6'3'' (1.91 m),
3997,unknown,,,,,Greg Brown,,,
3999,unknown,,,,,Al Getz,,,
4001,Al Denney,,"Mount Juliet, Tennessee (United States of America)",19th January 1928,,Al Greene,26th December 2014,,
4002,Charley Perry Croy,,United States of America,5th July 1907,,Sailor Moran,7th April 1978,,
4003,Aldo Edmundo Bogni,261 lbs. (118 kg) at 6'3'' (1.91 m),"Buenos Aires, Ciudad Autónoma de Buenos Aires (Argentina)",29th January 1915,,Aldo Bogni,10th March 1997,,
4004,Lucille Ann Casey,170 lbs. (77 kg) at 5'8'' (1.73 m),"Saraland, Alabama (United States of America)",29th September 1938,1962,Ann Casey ,1st March 2021,,
4005,Anna C. Pico,147 lbs. (67 kg) at 5'7'' (1.70 m),"Canton, Ohio (United States of America)",1922,,Ann Laverne ,19th August 1999,,
4006,Archibald Lee Wright,206 lbs. (93 kg) at 5'11'' (1.80 m),"Benoit, Mississippi (United States of America)",13th December 1916,,Archie Moore,9th December 1998,,
4007,Charles A. Kemmerer,,Pennsylvania (United States of America),20th November 1912,,Babe Sharkey,25th September 1985,,
4008,Chris Davros,250 lbs. (113 kg) at 5'10'' (1.78 m),"Pueblo, Colorado (United States of America)",23rd August 1914,,Babe Zaharias,9th August 1957,,
4009,Jack Brown,,"Shreveport, Louisiana (United States of America)",4th March 1909,,Bad Boy Brown,22nd July 1984,,
4010,James Elmore Hines,167 lbs. (76 kg) at 5'6'' (1.68 m),"Montgomery, Alabama (United States of America)",20th March 1927,,Jimmy Hines,20th May 1983,,
4011,Barbara A. Reeves,,United States of America,29th June 1940,,Barbara Galento ,2nd May 1994,,
4012,Guiseppe Ricardo José Gattone,290 lbs. (132 kg) at 6'1'' (1.85 m),"Milano, Lombardia (Italy)",12th November 1919,,Baron Gattoni,30th April 1982,,
4013,Alfred Hoffman Odena,170 lbs. (77 kg) at 5'10'' (1.78 m),"Memphis, Tennessee (United States of America)",20th May 1909,,Baron Von Hoffman,28th November 2002,,
4014,Barbara Boucher,110 lbs. (50 kg) at 5'0'' (1.52 m),"Webster, Massachusetts (United States of America)",29th July 1943 (age 78),,Bette Boucher ,,,
4015,unknown,,,,,Betty Ann Spencer ,,,
4016,unknown,,"Regina, Saskatchewan (Canada)",13th March 1928,1954,John Foti,29th April 1969,,
4017,William J. Bartush,255 lbs. (116 kg) at 6'0'' (1.83 m),"Chicago, Illinois (United States of America)",21st August 1908,3rd October 1929 (92 years ago),Bill Bartush,31st December 1962,,
4018,William David Bowman,,"Mobile, Alabama (United States of America)",1st July 1933,1958,Bill Bowman,6th October 2015,,
4019,William Edward Cazzell Jr.,190 lbs. (86 kg) at 5'7'' (1.70 m),"Amarillo, Texas (United States of America)",13th November 1909,,Bill Cazzell,30th May 1995,,
4020,William M. Dromo,,Canada,28th June 1937,,Bill Dromo,28th December 2012,,
4021,William G. Lawley,,,1934,,Bill Lawley,26th August 1963,,
4022,James Arthur Whitfield,,"Wilson, North Carolina (United States of America)",28th May 1898,,Bill Lewis,31st March 1961,5'8'' (1.73 m),
4023,William Frederick McIntyre,,"Kansas City, Missouri (United States of America)",27th June 1927,1947,Red McIntyre,1st October 2010,,
4024,William A. Steddum,,,,,Bill Steddum,7th January 2002,,
4025,Norbert Grupe Junior,,"Berlin, Berlin (Germany)",25th August 1940,,Norbert Grupe,10th March 2004,6'1'' (1.85 m),
4026,J. B. Garrett,,,1938,,Billy Garrett,3rd July 2002,,
4027,unknown,,,,,Billy Powell,,,
4028,William Fletcher Spearman,,"Jacksonville, Florida (United States of America)",,,Billy Spears,,,
4029,William Wickston,,"St. Paul, Minnesota (United States of America)",4th April 1932,1951,Billy Wicks,6th May 2016,5'11'' (1.80 m),
4030,Louie Walter Jennings,,"Muskogee, Oklahoma (United States of America)",12th January 1904,,Blue Sun Jennings,25th October 1957,,
4032,Florian Langevin,235 lbs. (107 kg) at 5'11'' (1.80 m),"Magog, Quebec (Canada)",23rd October 1913,1930,Bob Langevin,8th October 2005,,
4033,Carlos Rodríguez Casas,215 lbs. (98 kg) at 5'11'' (1.80 m),Mexico,1984,2004,Rush,,,
4034,Luther Eugene Hatfield,,Oklahoma (United States of America),3rd March 1934,,Bobby Fields,13th August 2011,,
4035,Albert Lee Hatfield,,,18th August 1930,,Lee Fields,4th June 2000,,
4036,Donald Wayne Hatfield,,"Pawhuska, Oklahoma (United States of America)",2nd May 1932,,Don Fields,18th September 2012,,
4037,Roberto L. Pico,,,4th January 1914,,Roberto Pico,30th June 1989,,
4038,Robert Manoogian Jr.,,"Chicago, Illinois (United States of America)",4th January 1918,,Bobby Managoff,3rd April 2002,,
4039,Robert Kawka,210 lbs. (95 kg) at 5'10'' (1.78 m),"Grand Rapids, Michigan (United States of America)",17th May 1911,,Bobby Roberts,1974,,
4040,Robert Lee Schoenberger,224 lbs. (102 kg) at 5'9'' (1.75 m),"St. Louis, Missouri (United States of America)",25th August 1945,,Bobby Shane,20th February 1975,,
4041,Roger Butts,,United States of America,,,Brown Panther,,4'2'' (1.27 m),
4042,Bonnabel Lee Burnquist,,"West Union, West Virginia (United States of America)",16th June 1932,,Bonnie Watson ,21st August 2014,,
4043,unknown,,,,,Boris Demetroff,,,
4044,Alexander Garkawienko,,,1892,,Alexander Garkawienko,16th September 1944,,
4045,Branko Sandor Lupsity,175 lbs. (79 kg) at 6'0'' (1.83 m),Battonya (Hungary),25th December 1925,1948,Bronko Lubich,11th August 2007,,
4046,Roger D. Kowarko,,"Buffalo, New York (United States of America)",1st October 1940,,Buddy Bison,14th August 2012,,
4047,Herbert Glen Knotts,190 lbs. (86 kg) at 5'11'' (1.80 m),"Charleston, West Virginia (United States of America)",16th May 1914,,Buddy Knox,3rd January 1970,,
4050,Myron Edward Batesole,342 lbs. (155 kg) at 6'6'' (1.98 m),"Marshalltown, Iowa (United States of America)",25th October 1911,,Cardiff Giant,17th November 1978,,
4051,Neal Wallace Laye,,Tennessee (United States of America),14th July 1914,,Charlie Laye,19th February 2000,,
4052,Karl Tomberg,,Estonia,9th December 1884,,Radko Petrowitsch,4th July 1949,,
4053,Herbert Gallant,220 lbs. (100 kg) at 5'10'' (1.78 m),"Shediac, New Brunswick (Canada)",12th October 1955 (age 66),2nd May 1975 (46 years ago),Hubert Gallant,,,
4055,Lloyd Vallina,210 lbs. (95 kg) at 6'0'' (1.83 m),"Cherryvale, Kansas (United States of America)",25th November 1911,,Cherry Vallina,10th April 1968,,
4056,Basilio J. Salazar,,,14th June 1922,,Chico Cortez,28th December 1999,,
4058,Albert William Lynn,212 lbs. (96 kg) at 6'0'' (1.83 m),"Macon, Georgia (United States of America)",20th May 1926,,Choo-Choo Lynn,11th November 2005,,
4060,Clara Marie Mortensen,133 lbs. (60 kg) at 5'6'' (1.68 m),"Battle Creek, Iowa (United States of America)",21st June 1916,18th July 1925 (96 years ago),Clara Mortensen ,6th November 1988,,
