,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
20066,unknown,"Ciudad de México, Ciudad de México (Mexico)",3rd December 1992 (age 29),Shitara ,,2010,,,
20067,unknown,Estado de México (Mexico),16th July 1996 (age 25),Muerte Infernal,176 lbs. (80 kg) at 5'8'' (1.73 m),,,,
20069,Freddy Assunção,"Recife, Pernambuco (Brazil)",19th July 1982 (age 39),Freddy Assunção,145 lbs. (66 kg) at 5'7'' (1.70 m),3rd October 2009 (12 years ago),,,
20070,unknown,,,Umanosuke Ueda #2,243 lbs. (110 kg) at 6'0'' (1.83 m),,,,
20071,unknown,,,Walter Eigemann,,,,,
20072,unknown,"Oita, Oita (Japan)",,Battle Shark,187 lbs. (85 kg) at 5'8'' (1.73 m),,,,
20073,unknown,,,Beppu Yufuin Onsenman,,,,,
20074,unknown,"Oita, Oita (Japan)",,Chojin Mejiro,181 lbs. (82 kg) at 5'8'' (1.73 m),,,,
20075,unknown,"Oita, Oita (Japan)",,Saba-o,181 lbs. (82 kg) at 5'8'' (1.73 m),,,,
20076,unknown,,,Hoverman,,,,,
20078,unknown,"Orlando, Florida (United States of America)",19th April ???,John E. Stone,245 lbs. (111 kg) at 6'3'' (1.91 m),??th March 1999,,,
20079,unknown,"Las Vegas, Nevada (United States of America)",15th November ???,Sean Stevens,170 lbs. (77 kg) at 6'1'' (1.85 m),9th January 2010 (12 years ago),,,
20080,unknown,"Las Vegas, Nevada (United States of America)",8th December ???,Rudy Edwards,,10th December 2010 (11 years ago),,,210 lbs. (95 kg)
20081,unknown,Mexico,,Vampiro Inmortal Jr.,,,,,
20082,unknown,,,Monkichi Takasaki,154 lbs. (70 kg) at 5'5'' (1.65 m),,,,
20083,unknown,,,Mikan Man,,,,,
20084,unknown,,,Ocha Man,,,,,
20085,unknown,"Taketa, Oita (Japan)",,Kabossan,207 lbs. (94 kg) at 5'10'' (1.78 m),,,,
20086,unknown,Oita (Japan),,Shiitake Otoko!?,187 lbs. (85 kg) at 5'10'' (1.78 m),,,,
20087,unknown,,,Pink Shark,,,,,
20088,AJ Matthews,"Carlsbad, California (United States of America)",,AJ Matthews,,31st March 2007 (14 years ago),,,170 lbs. (77 kg)
20089,Saad Awad,"San Bernardino, California (United States of America)",,Saad Awad,155 lbs. (70 kg) at 5'11'' (1.80 m),19th March 2006 (16 years ago),,,
20090,unknown,,,GLOBO Kamen,,26th July 2009 (12 years ago),,,
20091,unknown,"Tlalnepantla de Baz, Estado de México (Mexico)",,Golden Fire,,,5'7'' (1.70 m),,
20092,unknown,"Orlando, Florida (United States of America)",10th February 1979 (age 43),Xavier Night,175 lbs. (79 kg) at 5'8'' (1.73 m),??th August 2001,,,
20093,unknown,"Charleston, South Carolina (United States of America)",10th December 1975 (age 46),Insane Asylum,,,,,
20094,unknown,,,Panda Car Robot,,,,,
20097,Guillermo Cortes,Mexico,10th December 1952,Mini Elektra,137 lbs. (62 kg) at 4'11'' (1.50 m),1976,,6th August 2020,
20098,unknown,United States of America,,Robbie Dawber,,,,,
20099,unknown,,,Goya Mask #2,,,,,
20102,unknown,,29th December ???,Naomi Susan ,,,5'5'' (1.65 m),,
20104,unknown,United Kingdom,1986,Benjamin English,,2006,6'4'' (1.93 m),,
20105,unknown,United Kingdom,,Van Wicked,,,,,
20106,unknown,United Kingdom,,So Sai King,,,,,
20109,unknown,California (United States of America),,Nick Lovin,,10th October 2009 (12 years ago),,,
20110,unknown,"Lagos de Moreno, Jalisco (Mexico)",2nd July 1985 (age 36),Sangre Azul,203 lbs. (92 kg) at 5'11'' (1.80 m),30th November 2010 (11 years ago),,,
20111,John G. Gondek,,12th January 1910,Johnny Gondek,,,,20th November 1997,
20112,Frank R. Noceti,,12th November 1928,Frank Noceti,,,,30th July 1998,
20113,Chester Rybinsky,"Baltimore, Maryland (United States of America)",24th February 1923,Johnny Harmon,,,,14th July 1999,
20114,Peter William Portner,"Cherokee, Iowa (United States of America)",20th August 1914,Pete Portner,180 lbs. (82 kg) at 5'8'' (1.73 m),,,20th April 1985,
20117,Carlton Edward Todd,"Daisy, Georgia (United States of America)",7th May 1914,Tommy Todd,176 lbs. (80 kg) at 5'10'' (1.78 m),,,18th February 1972,
20119,unknown,Jalisco (Mexico),,Diamante Negro,,,,,
20120,Charles Alan Hardimon,,,Al Hardimon,235 lbs. (107 kg) at 6'2'' (1.88 m),,,1st May 2014,
20121,Frank A. Reyes,United States of America,24th February 1952 (age 70),Frankie Reyes,,1982,,,
20122,Dustin Holifer,,16th February 1988 (age 34),Dirk Manning,,,,,
20123,unknown,"Tahlequah, Oklahoma (United States of America)",23rd July 1969,Mr. Ooh La La,200 lbs. (91 kg) at 6'1'' (1.85 m),1989,,27th November 2012,
20124,unknown,,,Dale Apollo,,,,,
20125,unknown,,,Dieusel Berto,,,,,
20127,unknown,,,Jim Magnum,,,,,
20128,unknown,,,Death Row 3260,280 lbs. (127 kg) at 6'3'' (1.91 m),,,,
20129,unknown,,,Cody Wade,,,,,
20130,unknown,,,Gator Gilmore,,,,,
20131,unknown,,,Chubby Mo Cool,,,,,
20132,unknown,,,Oscar LeDoux,,,,,
20133,unknown,,,Manny Fernández,,,,,
20134,unknown,,,Ernst Reußel,,,,,
20135,unknown,United Kingdom,,Milky O'Hagan,,,,,
20136,unknown,United Kingdom,1981,Johnny Starr,,,,,
20137,unknown,,,Bob Silcock,,,,,
20138,unknown,,1963,Jerry McNeil,,,,26th November 2008,
20139,unknown,United Kingdom,,John Massa,245 lbs. (111 kg) at 6'2'' (1.88 m),24th April 2010 (11 years ago),,,
20140,unknown,United Kingdom,,Jet Valentine,175 lbs. (79 kg) at 5'11'' (1.80 m),9th April 2010 (11 years ago),,,
20142,unknown,Mexico,,Ángel Perverso,,,,,
20144,Húgo González González,"Tampico, Tamaulipas (Mexico)",24th October 1983 (age 38),El Gallo Dorado,,29th April 2007 (14 years ago),,,
20145,Humberto Pérez Whijares,"Tampico, Tamaulipas (Mexico)",3rd November 1948 (age 73),Zebra Kid,,1966,,,
20146,unknown,Mexico,16th February 1986 (age 36),El Alquimista,,28th April ???,,,
20147,unknown,"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",21st June ???,Luminó,,,,,
20148,unknown,"Tijuana, Baja California (Mexico)",,Loco Man,,,,,
20149,unknown,"Tijuana, Baja California (Mexico)",9th November 1988 (age 33),Tijuanense Lee,,,,,
20150,unknown,,,Bill Costello,,,,,
20151,Roger Lee Brown,Virginia (United States of America),1st May 1937 (age 84),Roger Brown,,,,,
