,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
18187,unknown,,,Kyle Blizzard,,,,,
18190,unknown,"Garland, Texas (United States of America)",22nd August ???,Jordan Jacobs,180 lbs. (82 kg) at 5'8'' (1.73 m),16th April 2010 (11 years ago),,,
18191,unknown,"Irwin, Pennsylvania (United States of America)",1991,Ryan Reign,,,6'4'' (1.93 m),,
18192,unknown,"Powers, Oregon (United States of America)",17th May 1974 (age 47),Wage,265 lbs. (120 kg) at 6'1'' (1.85 m),2003,,,
18193,Kevin Glenn,United States of America,23rd June ???,Dr. Hurtz,245 lbs. (111 kg) at 6'3'' (1.91 m),1996,,,
18194,Charles Raymond Frassrand,"Chattanooga, Tennessee (United States of America)",21st November 1921,Ivan the Terrible,,,,20th October 1964,
18195,unknown,"Augusta, Georgia (United States of America)",1984,Chris Mayne,,,6'0'' (1.83 m),,
18196,unknown,,,Aaron Lee,,,,,
18197,unknown,,,Terry Knight,,,,,
18198,unknown,,,Scott Cage,,,,,
18199,unknown,San Juan (Puerto Rico),,Carlos Rivera,145 lbs. (66 kg) at 5'7'' (1.70 m),2006,,,
18200,unknown,"Ciudad de México, Ciudad de México (Mexico)",7th May 1983 (age 38),Tormento,216 lbs. (98 kg) at 5'8'' (1.73 m),,,,
18201,unknown,Estado de México (Mexico),,El Militar,192 lbs. (87 kg) at 5'5'' (1.65 m),,,,
18202,unknown,Estado de México (Mexico),,Ángel Guardián,,,,,
18203,unknown,"Ciudad de México, Ciudad de México (Mexico)",16th November ???,Centinela de la Muerte,,,,,
18204,unknown,Estado de México (Mexico),,Dr. O'Borman Jr.,,,,,
18205,unknown,Mexico,,Dr. Macabro,,2004,,,
18206,unknown,Mexico,,Manchitas,,,,,
18207,unknown,Mexico,,Mr. Zebra,,2004,,,
18208,unknown,Mexico,,Rey Vago,,,,,
18209,unknown,Mexico,,Etéreo,,,,,
18213,José Guadalupe Gaona Hernández,Nuevo León (Mexico),26th November 1975 (age 46),Rey Unicornio,,,,,
18215,unknown,United Kingdom,,Barricade,,,,,
18216,Harry Aaron Vargyas,"Eisenstadt, Burgenland (Austria)",,Anton Vargas,,,,,
18217,Otto Trobe,,,José Tropez,,,,2000,
18218,unknown,,,Wolfgang Trenker,,,,,
18220,unknown,,,Jay Freeze,,,,,
18221,unknown,"Guadalupe, Nuevo León (Mexico)",10th November 1987 (age 34),Demencia,,,,,
18222,unknown,,5th September 1963 (age 58),Axel Reese,,,,,
18223,unknown,,,Jack Nelson,,,,,
18224,unknown,,9th October 1913,Marvin Buckwalter,,,,??th April 1985,
18226,unknown,,24th July 1974 (age 47),Tyler Symz,,,,,
18228,Antonio Clevio Massimo Sabatino,Italy,1895,Clevio Massimo,,,,,195 lbs. (88 kg)
18229,Virgil Lee Govro,"Rock Falls, Iowa (United States of America)",5th September 1900,Whitey Govro,234 lbs. (106 kg) at 5'10'' (1.78 m),,,1st February 1973,
18230,George Tragos,Messinia (Greece),14th March 1897,George Tragos,,,,5th September 1955,
18231,unknown,,,Olaf Olson,,,,,
18232,unknown,,,Henry Graber,,,,,
18233,Anthony Francis Matisi,"New York City, New York (United States of America)",23rd August 1914,Tony Matisi,230 lbs. (104 kg) at 6'2'' (1.88 m),,,26th August 1969,
18234,unknown,"Keokuk, Iowa (United States of America)",3rd March 1911,Eddie Cook,,,,XXXX,
18235,unknown,,,Cora Livingston,,,,22nd April 1957,
18236,Robert Nelson Printy,"Wabash, Indiana (United States of America)",10th August 1901,Bob Printy,162 lbs. (73 kg) at 5'9'' (1.75 m),,,31st December 1981,
18238,Keith Montgomery Black,,14th August 1962,Monty Black,,,,9th September 2007,
18239,unknown,"San Diego, California (United States of America)",5th March 1936,Ruth Gohman ,,,,17th November 2007,
18241,unknown,South Africa,21st June 1980,Hannes van Zyl,,,,24th February 2008,
18242,unknown,South Africa,23rd May 1977,Dieter Heinemann,,,,28th March 2007,
18243,unknown,South Africa,23rd December 1969,Dirk van Vuuren,,,,22nd July 2007,
18246,Jeffrey M. Trigona,,23rd June 1970,Jeff Trigona,,,,11th November 2004,
18247,James William Hawk,,13th May 1949,JW Hawk,,,,7th September 2004,
18248,William H. Crumpton Jr.,,24th July 1975,Billy Redwood,,,,4th July 2004,
18249,Ronald M. Matteucci,"Brownsville, Pennsylvania (United States of America)",18th May 1943,Ron Matteucci,,,,13th June 2004,
18250,George D. Kotsonaros,Greece,1893,George Kotsonaros,,,,13th July 1933,199 lbs. (90 kg)
18251,unknown,,,Alex Yermakoff,,,,,
18252,unknown,,,Lina Magnani ,,,,,
18253,George Wilson,"Little Rock, Arkansas (United States of America)",6th September 1901,George Wilson,,,,27th December 1963,
18254,Nedelco Blaza Ilitch,,14th December 1898,Nick Elitch,,,,4th October 1959,209 lbs. (95 kg)
18255,Alfred Warren Sparks,"Smithfield, Utah (United States of America)",25th May 1906,Al Sparks,,,,23rd June 1993,
18256,unknown,,,Leo Narbares,,,,,
18257,Ricardo Hernández,Mexico,,Azazel,,1992,,,
18258,Héctor Eduardo Martínez Sánchez,"San Cristóbal Ecatepec de Morelos, Estado de México (Mexico)",23rd September 1979 (age 42),Mike,176 lbs. (80 kg) at 5'5'' (1.65 m),16th August 2004 (17 years ago),,,
18259,Harry Mamos,Greece,,Harry Mamos,,,,8th July 1968,204 lbs. (93 kg)
18260,unknown,Finland,,Héctor le Chef,243 lbs. (110 kg) at 6'1'' (1.85 m),23rd September 2009 (12 years ago),,,
18261,Everett Claude Kibbons,"Tulsa, Oklahoma (United States of America)",18th November 1910,Everett Kibbons,215 lbs. (98 kg) at 6'2'' (1.88 m),,,16th August 1975,
18262,Manuel Marshall,"Sunol, California (United States of America)",28th February 1904,Jack Manuel,,,,9th January 1984,
18263,unknown,,,White Trash,,,,,
18265,unknown,Mexico,10th December ???,Volaris,,,,,
18266,unknown,"Ciudad de México, Ciudad de México (Mexico)",24th October 1990 (age 31),Spider Boy,,,,,
18267,Li Fang,"Shànghai, Shànghai (China)",20th July 1983 (age 38),Kenny Li,189 lbs. (86 kg) at 6'0'' (1.83 m),2006,,,
18268,Alphonse Joseph Martin,,,Jean LeDoux,,,,27th July 1936,
18269,unknown,,,Zelis Amhara,,,,,
18270,David Pinkerton,"Belfast, Belfast, Northern Ireland (United Kingdom)",1927,Dave Sims,230 lbs. (104 kg) at 6'1'' (1.85 m),1947,,,
18271,unknown,,,Dick Costello,,,,,
18272,unknown,,,Gorilla Parker,,,,,
18273,unknown,,,Bobby Novak,,,,,
18274,unknown,,,Eddie Pope,,,,,
18275,George Hartay,Budapest (Hungary),13th September 1909,George Hartay,160 lbs. (73 kg) at 5'5'' (1.65 m),,,15th August 1990,
18276,Leslie John Fishbaugh,"Lancaster, Ohio (United States of America)",27th August 1901,Leslie Fishbaugh,175 lbs. (79 kg) at 5'5'' (1.65 m),,,11th March 1967,
18277,Nick Velcoff,Bulgaria,16th December 1891,Nick Velcoff,,,5'11'' (1.80 m),28th February 1948,
18281,unknown,,,Martin Zikoff,,,,,
18283,unknown,Baja California (Mexico),,El Clasico,,,,,
18284,unknown,Baja California (Mexico),,Slifer,,,,,
18285,Jesús Cisneros,"Tijuana, Baja California (Mexico)",8th May 1982 (age 39),Star Boy,,1999,,,
18286,unknown,Estado de México (Mexico),,Canelo Juárez,,,,,
18287,Ambrose Henry Rascher,"Cedar Lake, Indiana (United States of America)",3rd November 1908,Ambrose Rascher,210 lbs. (95 kg) at 6'2'' (1.88 m),,,6th March 1988,
18288,Robert Ally Haak,"Hammond, Indiana (United States of America)",26th March 1916,Bob Haak,245 lbs. (111 kg) at 6'1'' (1.85 m),15th May 1939 (82 years ago),,1st November 1992,
18292,unknown,"Houston, Texas (United States of America)",,Billy Buck,,,,,
18293,unknown,"Royston, Georgia (United States of America)",,John Carnage,302 lbs. (137 kg) at 6'9'' (2.06 m),,,,
18294,unknown,"Augusta, Georgia (United States of America)",??th November 1984,Brandon Parker,,,6'3'' (1.91 m),,
18295,unknown,"Augusta, Georgia (United States of America)",1990,Dustin Michaels,,2007,6'0'' (1.83 m),,
18299,unknown,"Athens, Georgia (United States of America)",1986,Matt Sells,,,6'1'' (1.85 m),,
18300,unknown,"Athens, Georgia (United States of America)",1985,Ryan Michaels,179 lbs. (81 kg) at 6'0'' (1.83 m),,,,
18301,unknown,Georgia (United States of America),1989,Jacob Ashworth,,2004,6'6'' (1.98 m),,
18302,Caleb Harrison,Georgia (United States of America),,Donovan Sweet,,,,,
18303,unknown,,,Ted Sarris,,,,,
18304,unknown,Georgia (United States of America),,TJ Gray,,1998,,,231 lbs. (105 kg)
18305,unknown,"Atlanta, Georgia (United States of America)",,Rukkus,240 lbs. (109 kg) at 6'1'' (1.85 m),,,,
18306,Johnny William Robertson Jr.,,28th April 1959,John Cheatham,,,,15th February 2019,
18307,unknown,,,Hans Schultz,,,,,
18308,George Skaaland,,,George Skaaland,,,,,
18310,Dongi Yang,Seoul (South Korea),7th December 1984 (age 37),Dongi Yang,185 lbs. (84 kg) at 5'11'' (1.80 m),2nd June 2007 (14 years ago),,,
18311,unknown,United Kingdom,,Sammy Hope ,,,,,
18313,Davy Van Wesemael,"Leuven, Vlaams-Brabant, Vlaanderen (Belgium)",23rd August 1983 (age 38),David Steel,225 lbs. (102 kg) at 6'2'' (1.88 m),,,,
18314,unknown,Tamaulipas (Mexico),,El Bronco,,,,,
18315,unknown,"Tampico, Tamaulipas (Mexico)",24th July 1970 (age 51),Infierno,220 lbs. (100 kg) at 5'11'' (1.80 m),??th September 2005,,,
18316,unknown,Florida (United States of America),7th November 1973 (age 48),Shane Young,227 lbs. (103 kg) at 6'1'' (1.85 m),11th August 1995 (26 years ago),,,
18317,Arsacio Vanegas Arroyo,,1922,Kid Vanegas,,,,26th September 2001,
18319,Juan Manuel González Olalde,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",7th July 1981 (age 40),Espíritu Negro,192 lbs. (87 kg) at 5'8'' (1.73 m),2000,,,
18320,unknown,"Ciudad de México, Ciudad de México (Mexico)",8th July 1979 (age 42),Millennium,,,,,
18322,unknown,Estado de México (Mexico),,Mini Oriental,,,,,
18323,Pedro Ortega,"Houston, Texas (United States of America)",17th September 1992 (age 29),Low Rider,161 lbs. (73 kg) at 5'9'' (1.75 m),2007,,,
18324,unknown,Mexico,,Triple X,,,,,
18325,unknown,Estado de México (Mexico),,Boca Negra,,,,,
18327,unknown,,,Paddy Nolan,,,,XXXX,
18329,unknown,,,Charles Kelly,,,,,
18330,unknown,Morelos (Mexico),,Euforico,,,,,
18331,unknown,Morelos (Mexico),,Electro,,,,,
18332,unknown,,,Al Goodwin,,,,,
18333,unknown,Mexico,,Nahual,,,,,
18334,unknown,,1st July 1950 (age 71),Kang Sung Yung,,1971,,,
18336,unknown,,,Leon Ogle,,,,,
18337,unknown,,,George Finnie,,,,,
18339,Israel Esparza Quintero,"San Cristóbal Ecatepec de Morelos, Estado de México (Mexico)",1991,Killer Boy,,2006,,,
18340,Cristian Castro García,"Pachuca, Hidalgo (Mexico)",1986,Drástico,,1999,,,
18341,unknown,Morelos (Mexico),,Cometa Dorado,,,,,
18342,unknown,Mexico,,Pankratos,,,,,
18343,unknown,Mexico,4th May 1990 (age 31),El Hijo del Máscara Sagrada,181 lbs. (82 kg) at 6'3'' (1.91 m),2011,,,
18344,unknown,Argentina,,Christian,,,,,
18345,unknown,Mexico,,Fénix,,,,,
18346,unknown,Nuevo León (Mexico),,Sexy Maciel,,,,,
18347,unknown,Hidalgo (Mexico),,Payaso Bombón,,,,,
18348,unknown,"Víctoria, Tamaulipas (Mexico)",,Princesa Quetzal ,,13th March 2010 (12 years ago),,,
18349,unknown,Estado de México (Mexico),,Mr. Jack,,,,,
18350,unknown,Estado de México (Mexico),,Chamaco de Oro,,,,,
18351,Alexander Joseph Tafrof,Hungary,28th December 1910,Al Tafrof,187 lbs. (85 kg) at 5'11'' (1.80 m),,,19th September 1991,
18352,unknown,Estado de México (Mexico),,Soldado Infernal,,,,,
18353,unknown,Estado de México (Mexico),,Ángel Oriental,,,,,
18354,unknown,Michoacán de Ocampo (Mexico),,The Wolf,,,,,
18355,unknown,Mexico,,El Tigre,,,,,
18356,unknown,Mexico,,Ángel de Tijuana,,,,,
18357,unknown,"Pedro Escobedo, Querétaro Arteaga (Mexico)",1st July 1995 (age 26),Kalibus,143 lbs. (65 kg) at 5'7'' (1.70 m),,,,
18358,unknown,Tamaulipas (Mexico),,Wolverine,,,,,
18359,unknown,Tamaulipas (Mexico),,Tiger King,,,,,
18360,unknown,Tamaulipas (Mexico),,Ku Klux Klan #1,,,,,
18361,unknown,Tamaulipas (Mexico),,Ku Klux Klan #2,,,,,
18362,unknown,Tamaulipas (Mexico),,Eagle Fire,,,,,
18363,unknown,Mexico,,Electro,,,,,
18364,unknown,Hidalgo (Mexico),,Tsunami,,,,,
18365,unknown,Michoacán de Ocampo (Mexico),,Sable,,,,,
18366,unknown,Michoacán de Ocampo (Mexico),,El Zombie,,,,,
18367,unknown,Michoacán de Ocampo (Mexico),,Súper Chapulín,,,,,
18368,unknown,Mexico,,Machín,,,,,
18370,unknown,Mexico,,Chico Malo #2,,,,,
18371,unknown,Mexico,,Chico Malo,,,,,
18372,Peppi Dipasquale,Abruzzo (Italy),14th April 1937 (age 84),Dino Nero,235 lbs. (107 kg) at 5'10'' (1.78 m),1961,,,
18373,Roman Erwin Waniek,"Orenburg, Orenburg (Russia)",18th November 1914,Roman Waniek,194 lbs. (88 kg) at 5'10'' (1.78 m),,,8th August 1995,
18374,unknown,,30th December 1933,Gerhard Kärcher,,,,11th February 1978,
18375,unknown,"Old Bridge, New Jersey (United States of America)",1984,Zack Novack,,2006,5'10'' (1.78 m),,
18377,unknown,"Riverside, Rhode Island (United States of America)",,Chase Burnett,135 lbs. (61 kg) at 5'5'' (1.65 m),29th July 2008 (13 years ago),,,
18378,unknown,United States of America,,Zane Silver,,,5'8'' (1.73 m),,
18379,unknown,"Minneapolis, Minnesota (United States of America)",,Robert Paulson,,,,,
18380,unknown,"Vancouver, British Columbia (Canada)",13th July 1983 (age 38),Scott Henson,223 lbs. (101 kg) at 6'0'' (1.83 m),26th October 2002 (19 years ago),,,
18381,unknown,"Vancouver, British Columbia (Canada)",10th August 1983 (age 38),Yakuza J,280 lbs. (127 kg) at 6'2'' (1.88 m),,,,
18382,unknown,Ohio (United States of America),1985,Hobo Joe,190 lbs. (86 kg) at 5'8'' (1.73 m),,,,
18383,Jesús Reyes,"Tampico, Tamaulipas (Mexico)",28th January 1977 (age 45),Arsenal,,7th November 2008 (13 years ago),5'7'' (1.70 m),,
18384,unknown,Estado de México (Mexico),,El Corsario Negro,,,,,
18385,Alberto C. Romero,,15th September 1946,Al Romero,,,,8th November 2000,
18386,unknown,,,Blake Robertson,,,,,
18387,Ron Price,,,Ron Myers,,,,,
18388,unknown,,,George Hill,,,,,230 lbs. (104 kg)
18389,unknown,"Dover, Delaware (United States of America)",,The Hellaware Assassin,220 lbs. (100 kg) at 6'1'' (1.85 m),2001,,,
18390,John F. Albright,"Rochester, New York (United States of America)",4th November 1890,Jack Albright,,,,10th November 1955,
18391,Ernest Maurice Nolte,,,Ernie Nolte,,,,,
18396,Harold Chad Brock,"Ocala, Florida (United States of America)",31st July 1963 (age 58),Chad Brock,,,,,
18397,unknown,,10th March 1968 (age 54),Butch Long,,1992,,,
18398,Manfred Koch,,4th January 1940,Manfred Koch,,,,2001,
18399,Michel Debijser,Belgium,11th April ???,Michel Debyser,,,,,
18400,unknown,,,Manuel Landro,,,,,
18401,Thurman Louis Anglin,"Brighton, Tennessee (United States of America)",17th May 1909,Jimmy Parker,230 lbs. (104 kg) at 5'10'' (1.78 m),,,15th April 1971,
18402,unknown,,,Nick Bacalis,,,,,
18403,unknown,,,Super Big Gulp,,,,,
18405,unknown,"Arlington, Virginia (United States of America)",1981,Mark Bravura,,2002,6'2'' (1.88 m),,
18406,unknown,,,Antonio Cortez,,,,,
18408,unknown,,,Broadway Venus,,,,,
18409,unknown,,15th March 1910,Alberto Corral,,,,13th February 1989,
18410,Waachiim Spiritwolf,"San Diego, California (United States of America)",6th February 1976 (age 46),Waachiim Spiritwolf,170 lbs. (77 kg) at 5'9'' (1.75 m),22nd April 2006 (15 years ago),,,
18411,Virgil Zwicker,"San Diego, California (United States of America)",26th June 1982 (age 39),Virgil Zwicker,205 lbs. (93 kg) at 6'2'' (1.88 m),26th April 2003 (18 years ago),,,
18412,John Devine,"San Francisco, California (United States of America)",,John Devine,245 lbs. (111 kg) at 6'5'' (1.96 m),27th July 2007 (14 years ago),,,
18413,Taiyo Nakahara,"Tokyo, Tokyo (Japan)",20th December 1982 (age 39),Taiyo Nakahara,135 lbs. (61 kg) at 5'9'' (1.75 m),16th June 2002 (19 years ago),,,
18414,Ralph Edward Parcaut,"Sutherland, Iowa (United States of America)",3rd December 1896,Ralph Parcaut,160 lbs. (73 kg) at 5'6'' (1.68 m),,,25th June 1957,
18420,Shun'ichi Shimizu,"Tokyo, Tokyo (Japan)",31st January 1985 (age 37),Shun'ichi Shimizu,135 lbs. (61 kg) at 5'6'' (1.68 m),3rd May 2005 (16 years ago),,,
18421,James Zikic,"Watford, Hertfordshire, England (United Kingdom)",31st March 1977 (age 44),James Zikic,205 lbs. (93 kg) at 6'2'' (1.88 m),7th March 1998 (24 years ago),,,
18422,unknown,"Aragon, Georgia (United States of America)",,Tyler Smith,,,6'0'' (1.83 m),,
18423,Josh Moore,"Acworth, Georgia (United States of America)",,Bobby Moore,203 lbs. (92 kg) at 5'11'' (1.80 m),,,,
18425,Timothy Whisnant,"Morganton, North Carolina (United States of America)",,TK Cross,207 lbs. (94 kg) at 6'0'' (1.83 m),,,,
18426,unknown,,,Phil Golden,,,,,
18428,unknown,"North Royalton, Ohio (United States of America)",1986,Brett Thunder,181 lbs. (82 kg) at 5'7'' (1.70 m),,,,
18430,Kim Michael Porter,California (United States of America),,Kim Michael Porter,,,,24th October 2010,
18431,Joanne Welch-Phillips,"Tulsa, Oklahoma (United States of America)",16th March 1942 (age 80),JoJo Welch ,,,,,
18433,unknown,,,Miss Sylvia ,,,,,
18435,Harold Edward Cox,"Johnson City, Tennessee (United States of America)",4th November 1973 (age 48),Eddie Golden,220 lbs. (100 kg) at 5'11'' (1.80 m),1988,,,
18438,unknown,,,Jackie Welch,,,,,
18439,Rondall Elmer Malott,Kansas (United States of America),11th July 1907,Cowboy Malott ,215 lbs. (98 kg) at 5'10'' (1.78 m),,,29th April 1992,
18440,Ray W. Pettigrove,Minnesota (United States of America),,Duke Pettigrove,,,,,
18441,unknown,,,Sid Hayes,,,,,
18442,Frank Clemons,"Jackson, Michigan (United States of America)",1st February 1909,Frank Clemons,,,,24th November 1967,
18443,Gomer Enoch Thomas,"Beaverton, Colorado (United States of America)",2nd February 1911,Soldier Thomas,191 lbs. (87 kg) at 5'7'' (1.70 m),,,16th March 1946,
18444,unknown,,,Ivan Radocaj,275 lbs. (125 kg) at 6'9'' (2.06 m),24th June 1981 (40 years ago),,12th September 2007,
18445,unknown,,,Tiger Jackson,93 lbs. (42 kg) at 3'6'' (1.07 m),,,,
18446,Johnny Wayne Hatfield,United States of America,,Johnny Wayne Fields,,1973,,,
18447,Shane Hatfield,,,Shane Fields,,,,,
18450,unknown,,1907,Phil Zacko,,,,1993,
18451,Max B. Luttbeg,Russia,1st January 1868,Max Luttberg,,,,8th December 1960,
18452,unknown,,,Alex Kazan,,,,,
18453,unknown,,,Jourdan D'Uzes,,,,,238 lbs. (108 kg)
18454,unknown,,,Otto Prapotnick,,,,,
18455,Huber Edwin Grimm,"Lewistown, Pennsylvania (United States of America)",4th January 1886,Polly Grimm,,1912,,14th May 1956,
18456,Walter Francis Evans,"Knoxville, Tennessee (United States of America)",23rd September 1885,Walter Evans,,,,25th December 1965,
18457,unknown,,,Frank Lynch,,,,,
18458,Peter P. Katausky,,,Pete Katausky,,,,,
18459,unknown,,,Bill Hokuff,,,,,
18460,unknown,,,Ben Stefanski,,,,,
18461,Henry August Engel,"Rochelle, Illinois (United States of America)",17th September 1891,Heinie Engel,,1914,5'8'' (1.73 m),26th March 1949,
18462,unknown,,,Con O'Kelly,,,,,
18463,unknown,,,Tom Winkelhöfer,,,,,
18464,unknown,,1890,Bruno Minkley,,,,24th November 1956,
18465,unknown,,,Tony Ball,,,,,
18466,unknown,,,Harry Katron,,,,,
18467,Henry Wirth,,,Henry Wirth,,,,,
18468,unknown,"Wien, Wien (Austria)",28th May 1880,Karl von Delivuk,,,,1st June 1934,
18469,Henry William Schober,"Indianapolis, Indiana (United States of America)",5th December 1886,Billy Schober,180 lbs. (82 kg) at 5'6'' (1.68 m),,,25th March 1958,
18470,unknown,,,Mike O'Grady,,,,,
18471,unknown,,,Charley Burns,,,,,
18472,John Krone,"Scranton, Pennsylvania (United States of America)",5th December 1873,Doc Krone,,,,8th February 1934,
18473,unknown,,,Magnus Paulson,,,,,
18474,unknown,,,Peter Nogert,,,,,
18475,unknown,,,Charles Callender,,,,,
18476,Otto Suter,United States of America,19th March 1884,Otto Suter,,,,28th December 1970,
18477,Paul C. Sloan,"Knoxville, Tennessee (United States of America)",7th June 1912,Pug Sloan,170 lbs. (77 kg) at 5'10'' (1.78 m),,,22nd April 1988,
18478,Clarence Joseph Henhawke,"Hagersville, Ontario (Canada)",2nd August 1931,Golden Hawk,,,,20th January 2009,
18479,Samuel Lester Ford Jr.,"Memphis, Tennessee (United States of America)",11th October 1927,Rocky Ford,,,,25th June 2014,
18481,unknown,,1882,Gabe Kaufman,,,,9th November 1947,
18482,unknown,"Le Havre, Normandie (France)",30th December 1867,Leon Dumont,,,,XXXX,
18483,Bertrand L. Shurtleff,,,B. Shurtleff,,,,,
18486,unknown,,,Nick Collins,,,,,
18487,unknown,,,Henry Rogers,,,,,
18488,Heinrich Niemann,"Hamburg, Hamburg (Germany)",10th June 1864,Heinrich Niemann,,,,XXXX,
18489,Emil Voß,,,Emil Voß,247 lbs. (112 kg) at 6'2'' (1.88 m),,,1910,
18490,unknown,"Bucksnort, Tennessee (United States of America)",,Jessco Blue,268 lbs. (122 kg) at 6'3'' (1.91 m),,,,
18491,Alexander George Karras ,"Gary, Indiana (United States of America)",15th July 1935 (age 86),Alex Karras,248 lbs. (112 kg) at 6'2'' (1.88 m),,,,
18492,Otis Sistrunk,"Columbus, Georgia (United States of America)",18th September 1946 (age 75),Otis Sistrunk,,,,,
18493,Armas Otto Laitinen,"Helsinki, Uusimaa (Finland)",20th November 1891,Armas Laitinen,,,,23rd December 1969,
18494,unknown,,,Jesse Taylor,,,,,
18495,unknown,,,Kid USA,,,,,
18496,Laurent Gerstmans,"Antwerpen, Antwerpen, Vlaanderen (Belgium)",26th February 1885,Laurent Gerstmans,,,,3rd April 1955,
18498,Mark Scanlon,"Liverpool, Merseyside, England (United Kingdom)",,Mark Scanlon,,11th March 2006 (16 years ago),,,170 lbs. (77 kg)
18500,Alexandre Ferreira,"Río de Janeiro, Río de Janeiro (Brazil)",25th April 1979 (age 42),Alexandre Ferreira,205 lbs. (93 kg) at 5'7'' (1.70 m),7th February 1998 (24 years ago),,,
18501,unknown,,,Colt Rivers,,,,,
18502,unknown,,,Vic Violent,,1998,,,
18503,unknown,,,Ed Swimmer,,,,,
18504,unknown,,,Billy Simmons,,,,,
18512,unknown,,,Eddie Rogers,,,,,
18513,Ralph Waldo Hammonds,"Lawton, Oklahoma (United States of America)",9th July 1906,Ralph Hammonds,,,,5th May 1966,
18514,unknown,"Chicago, Illinois (United States of America)",1915,Mildred White ,,,,,134 lbs. (61 kg)
18515,unknown,,,Betty Steele ,,,,,
18516,Dorothy Woodward,,,Della Ryan ,,,,,
18517,unknown,,,Leitha Allison,,,,,
18518,George López,"El Paso, Texas (United States of America)",5th September 1914,Sugi Hayamaka,178 lbs. (81 kg) at 5'7'' (1.70 m),,,14th January 1986,
18519,Robert M. Castello,Canada,,Bob Castle,,,,,183 lbs. (83 kg)
18520,Feab Smith Williams,"Mobile, Alabama (United States of America)",25th January 1897,George Godfrey,255 lbs. (116 kg) at 6'3'' (1.91 m),1929,,13th August 1947,
18522,unknown,,,Walter Miller,,,,,182 lbs. (83 kg)
18527,unknown,,,Herbert Taurek,,,,,
18528,unknown,,,Frenchy LaRue,,,,,
18531,Mervin Hudson Barackman,"Deweese, Nebraska (United States of America)",13th February 1894,Mervin Barackman,170 lbs. (77 kg) at 5'7'' (1.70 m),,,1st January 1977,
18532,Frank Cutrer,,,Frank Foster,,,,,
18533,George W. Bailey,,,Buck Lawson,,,,,
18534,Marion E. Watkins,"Portland, Oregon (United States of America)",2nd November 1926,Al Watkins,,,,11th July 2014,
18535,Thomas James Ivey Jr.,"Columbus, Georgia (United States of America)",2nd April 1958,Thomas Ivey,,,,19th January 2019,
18536,unknown,"Torrance, California (United States of America)",21st December 1982 (age 39),Kyle Webb,,,6'7'' (2.01 m),,
18537,unknown,"Riverside, California (United States of America)",1983,Johnny Starr,213 lbs. (97 kg) at 6'0'' (1.83 m),19th August 2000 (21 years ago),,,
18539,unknown,Sweden,1901,Alf Johnson,,,,,
18540,Stanley Roberts,,1911,Stan Roberts,,,,12th September 1988,
18542,William Florance Canny,"Altamont, Kansas (United States of America)",5th May 1910,Bill Canny,210 lbs. (95 kg) at 5'11'' (1.80 m),,,8th July 1966,
18543,unknown,Mexico,,Tijuana Joe,,,,,
18544,Ivan Earl Brawn,Maine (United States of America),3rd October 1915,Ivan Braun,,,,4th November 1999,
18545,unknown,"Liège, Wallonne (Belgium)",,Victor Roland,,,,,
18546,Ventura R. García,,,Charro Ventura,,,,,
18547,José Villaverde de López,"Siero, Asturias (Spain)",19th October 1933,José Villaverde,207 lbs. (94 kg) at 5'10'' (1.78 m),,,18th July 2012,
18548,unknown,,,Bob Martin,,,,,
18549,unknown,,,Ev Uplinger ,,,,,
18551,unknown,,,Bill Scholl,,,,,
18553,unknown,,,George Pavich,,,,,
18554,Frederick Anthony Poggie,"Pavia, Lombardia (Italy)",18th June 1897,Fred Bruno,210 lbs. (95 kg) at 5'11'' (1.80 m),,,8th July 1977,
18555,unknown,,,Bobby Coleman,220 lbs. (100 kg) at 5'8'' (1.73 m),,,,
18556,unknown,"Lancaster, Ohio (United States of America)",,Jim Lewis,,,,,220 lbs. (100 kg)
18557,unknown,,,Phil Brummett,,,,,
18558,Rony Sefo,"Auckland, Auckland (New Zealand)",10th April 1972 (age 49),Rony Sefo,238 lbs. (108 kg) at 6'0'' (1.83 m),1999,,,
18559,Dale Delbert Raines,"Monmouth, Illinois (United States of America)",21st May 1905,Dale Raines,225 lbs. (102 kg) at 5'9'' (1.75 m),,,XXXX,
18560,unknown,,,John Freberg,,,,,
18561,John E. Murphy,"Malden, Massachusetts (United States of America)",12th May 1912,Dr. John Murphy,,,,17th October 1977,
18562,Ismael León Gonzáles,La Habana (Cuba),,Victorio Gonzales,99 lbs. (45 kg) at 3'11'' (1.19 m),,,,
18563,Jorge Hernández Gómez,Michoacán de Ocampo (Mexico),,Arlequín Negro,,2002,,,
18564,Christopher Morrison,"Slaughterville, Oklahoma (United States of America)",15th July ???,Brawler Morrison,179 lbs. (81 kg) at 5'8'' (1.73 m),17th July 2010 (11 years ago),,,
18565,unknown,,,Swasika,,,,,
18566,unknown,"Ottawa, Ontario (Canada)",,George Walker,,,,,
18567,unknown,,,Chester McIntyre,,,,,
18569,unknown,,,Joe Woods,,,,,
18570,Ralph Morley,,,Ralph Morley,,,,,
18571,unknown,Estado de México (Mexico),,El Santanero,,,,,
18572,unknown,Estado de México (Mexico),,El Santanero,,,,,
18574,Rose Roman Hesseltine,"Des Moines, Iowa (United States of America)",,Rose Roman ,140 lbs. (64 kg) at 5'4'' (1.63 m),1950,,,
