,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
27454,Takeshi Matsushita,150 lbs. (68 kg) at 5'5'' (1.65 m),Aichi (Japan),Takeshi Matsushita,28th March 2004 (17 years ago),,3rd September 1977 (age 44),,
27455,Naoki Matsushita,161 lbs. (73 kg) at 5'7'' (1.70 m),"Nagoya, Aichi (Japan)",Naoki Matsushita,14th June 2001 (20 years ago),,31st March 1976 (age 45),,
27456,Muangfahlek Kiatwichkien,137 lbs. (62 kg) at 5'5'' (1.65 m),Thailand,Muangfahlek Kiatwichkien,,,7th September 1971 (age 50),,
27457,unknown,168 lbs. (76 kg) at 5'9'' (1.75 m),São Paulo (Brazil),Joao Batista Yoshimura,18th December 2004 (17 years ago),,14th February 1982 (age 40),,
27458,Ryuichi Murata,183 lbs. (83 kg) at 5'8'' (1.73 m),Chiba (Japan),Ryuichi Murata,17th July 2005 (16 years ago),,27th August 1976 (age 45),,
27459,Tomomi Iwama,143 lbs. (65 kg) at 5'5'' (1.65 m),"Nagoya, Aichi (Japan)",Tomomi Iwama,30th March 2002 (19 years ago),,7th February 1977 (age 45),,
27460,unknown,,Mexico,Panamá Panther,,,18th May 1969 (age 52),,
27461,Won Jin Eoh,181 lbs. (82 kg) at 5'7'' (1.70 m),Seoul (South Korea),Won Jin Eoh,24th August 2004 (17 years ago),,15th June 1978 (age 43),,
27462,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Shaman Dos Mil,,,20th April 1972 (age 49),,
27463,unknown,,"Juárez, Chihuahua (Mexico)",La Felina ,25th December 2007 (14 years ago),,23rd November 1993 (age 28),,
27465,unknown,,,George Saunders,,,,,
27466,Marciea Allen,134 lbs. (61 kg) at 5'7'' (1.70 m),"Watertown, South Dakota (United States of America)",Marciea Allen ,5th December 2009 (12 years ago),,19th November 1981 (age 40),,
27467,Joseph P. Swinick,,"New York City, New York (United States of America)",Joe Swinick,,,19th February 1926,11th February 2003,
27468,Kaiyana Rain,115 lbs. (52 kg) at 5'2'' (1.57 m),"Los Angeles, California (United States of America)",Kaiyana Rain ,6th October 2012 (9 years ago),,,,
27470,Danielle West,140 lbs. (64 kg) at 5'6'' (1.68 m),"Boston, Massachusetts (United States of America)",Danielle West ,14th June 2003 (18 years ago),,1st March 1977 (age 45),,
27471,Simona Soukupova,105 lbs. (48 kg) at 5'1'' (1.55 m),Czech Republic,Simona Soukupova ,6th March 2010 (12 years ago),,4th June 1977 (age 44),,
27472,Ashleigh Curry,136 lbs. (62 kg) at 5'8'' (1.73 m),"St. Joseph, Missouri (United States of America)",Ashleigh Curry ,12th June 2010 (11 years ago),,17th September 1985 (age 36),,
27473,Suzie Montero,125 lbs. (57 kg) at 5'4'' (1.63 m),"Coconut Creek, Florida (United States of America)",Suzie Montero ,15th October 2011 (10 years ago),,20th August 1981 (age 40),,
27474,Lauren Taylor,135 lbs. (61 kg) at 5'8'' (1.73 m),"Anchorage, Alaska (United States of America)",Lauren Taylor ,9th June 2010 (11 years ago),,27th July 1983 (age 38),,
27475,Jessica Philippus,105 lbs. (48 kg) at 5'2'' (1.57 m),"Glenwood, Iowa (United States of America)",Jessica Philippus ,9th February 2009 (13 years ago),,6th June 1983 (age 38),,
27476,Angelica Chavez,105 lbs. (48 kg) at 5'1'' (1.55 m),"Albuquerque, New Mexico (United States of America)",Angelica Chavez ,20th February 2009 (13 years ago),,20th July 1987 (age 34),,
27477,Jocelyn Lybarger,125 lbs. (57 kg) at 5'4'' (1.63 m),"Phoenix, Arizona (United States of America)",Jocelyn Lybarger ,2nd July 2010 (11 years ago),,4th October 1985 (age 36),,
27478,Cheryl Chan,125 lbs. (57 kg) at 5'4'' (1.63 m),"Vancouver, British Columbia (Canada)",Cheryl Chan ,9th July 2010 (11 years ago),,26th January 1979 (age 43),,
27479,Sarah Moras,135 lbs. (61 kg) at 5'7'' (1.70 m),"Kelowna, British Columbia (Canada)",Sarah Moras ,7th September 2007 (14 years ago),,30th April 1988 (age 33),,
27480,Elina Nilsson,145 lbs. (66 kg) at 5'10'' (1.78 m),"Stockholm, Stockholms (Sweden)",Elina Nilsson ,6th May 2006 (15 years ago),,,,
27481,Anoalo Lautoa Atisano'e,,American Samoa,Anoaro Atisanoe,,,31st March 1957,23rd November 2008,
27482,Sofia Bagherdai,125 lbs. (57 kg) at 5'0'' (1.52 m),"Upland, California (United States of America)",Sofia Bagherdai ,17th February 2007 (15 years ago),,,,
27483,Bethany Marshall,125 lbs. (57 kg) at 5'8'' (1.73 m),"Yorktown, Virginia (United States of America)",Bethany Marshall ,4th March 2006 (16 years ago),,2nd May 1988 (age 33),,
27484,Raquel Pa'aluhi,134 lbs. (61 kg) at 5'7'' (1.70 m),"Wai'anae, Hawaii (United States of America)",Raquel Pa'aluhi ,7th November 2009 (12 years ago),,,,
27485,Laura D'Auguste,135 lbs. (61 kg) at 5'5'' (1.65 m),"Long Beach, New York (United States of America)",Laura D'Auguste ,2nd November 2002 (19 years ago),,,,
27486,Meghan Wright,105 lbs. (48 kg) at 5'4'' (1.63 m),"Cincinnati, Ohio (United States of America)",Meghan Wright ,26th January 2008 (14 years ago),,13th April 1986 (age 35),,
27487,Michele Gutierrez,125 lbs. (57 kg) at 5'6'' (1.68 m),"Las Vegas, Nevada (United States of America)",Michele Gutierrez ,20th November 2009 (12 years ago),,29th June 1981 (age 40),,
27488,Sarah Maloy,126 lbs. (57 kg) at 5'5'' (1.65 m),"Ada, Oklahoma (United States of America)",Sarah Maloy ,24th January 2009 (13 years ago),,8th June 1982 (age 39),,
27489,Randi Miller,149 lbs. (68 kg) at 5'2'' (1.57 m),"Arlington, Texas (United States of America)",Randi Miller ,29th August 2010 (11 years ago),,3rd November 1983 (age 38),,
27490,Julia Berezikova,122 lbs. (55 kg) at 5'6'' (1.68 m),Russia,Julia Berezikova ,2nd December 2006 (15 years ago),,17th November 1983 (age 38),,
27491,Sally Krumdiack,115 lbs. (52 kg) at 5'3'' (1.60 m),"Seattle, Washington (United States of America)",Sally Krumdiack ,6th October 2006 (15 years ago),,17th November 1982 (age 39),,
27492,Vanessa Mariscal,136 lbs. (62 kg) at 5'7'' (1.70 m),"El Segundo, California (United States of America)",Vanessa Mariscal ,20th November 2009 (12 years ago),,,,
27493,Olga Bakalopoulos,175 lbs. (79 kg) at 5'6'' (1.68 m),"Toronto, Ontario (Canada)",Olga Bakalopoulos ,3rd June 2000 (21 years ago),,20th January 1978 (age 44),,
27494,unknown,135 lbs. (61 kg) at 5'8'' (1.73 m),,Owen Evinger,,,3rd September 1983 (age 38),,
27495,Tonya Evinger,126 lbs. (57 kg) at 5'7'' (1.70 m),"Odessa, Missouri (United States of America)",Tonya Evinger ,3rd June 2006 (15 years ago),,19th June 1981 (age 40),,
27496,Jennifer Howe,135 lbs. (61 kg) at 5'4'' (1.63 m),"Salt Lake City, Utah (United States of America)",Jennifer Howe ,21st November 1998 (23 years ago),,18th November 1973 (age 48),,
27497,Adrienna Jenkins,135 lbs. (61 kg) at 5'8'' (1.73 m),Hawaii (United States of America),Adrienna Jenkins ,16th January 2004 (18 years ago),,22nd July 1981 (age 40),,
27499,Akulina Kvokov,130 lbs. (59 kg) at 5'9'' (1.75 m),"Portland, Oregon (United States of America)",Akulina Kvokov ,5th May 2007 (14 years ago),,,,
27500,Elaina Maureen Maxwell,145 lbs. (66 kg) at 5'8'' (1.73 m),"Salt Lake City, Utah (United States of America)",Elaina Maxwell ,12th August 2006 (15 years ago),,16th December 1978 (age 43),,
27501,unknown,,,Yaden Matthews,,,,,
27502,Deborah Ann Purcell,135 lbs. (61 kg) at 5'7'' (1.70 m),"Huntington Beach, California (United States of America)",Debi Purcell ,30th September 2001 (20 years ago),,,,
27503,Jessica Rakoczy,135 lbs. (61 kg) at 5'7'' (1.70 m),"Hamilton, Ontario (Canada)",Jessica Rakoczy ,8th October 2009 (12 years ago),,14th April 1977 (age 44),,
27504,unknown,260 lbs. (118 kg) at 6'0'' (1.83 m),New York (United States of America),Havoc,,,,,
27506,Elena A. Reid,115 lbs. (52 kg) at 5'2'' (1.57 m),"Phoenix, Arizona (United States of America)",Elena Reid ,18th April 2000 (21 years ago),,1st November 1981 (age 40),,
27507,Shelby Rogers,125 lbs. (57 kg) at 5'6'' (1.68 m),"Kingsville, Texas (United States of America)",Shelby Walker ,2001,,27th February 1975,24th September 2006,
27508,Jun Hee Moon,167 lbs. (76 kg) at 5'10'' (1.78 m),Cheongju (South Korea),Jun Hee Moon,5th March 2010 (12 years ago),,26th January 1991 (age 31),,
27509,Irina Rodina,227 lbs. (103 kg) at 5'3'' (1.60 m),Russia,Irina Rodina ,1999,,23rd July 1973 (age 48),,
27510,unknown,,,Aaron Sky,,,,,
27511,Kizaemon Saiga,130 lbs. (59 kg) at 5'6'' (1.68 m),Japan,Kizaemon Saiga,2007,,13th February 1989 (age 33),,
27512,unknown,,United States of America,Ricky Love,,,,,
27513,unknown,,Mexico,Vegueta,,,,,
27514,Toshio Fujiwara,130 lbs. (59 kg) at 5'6'' (1.68 m),"Miyako, Iwate (Japan)",Toshio Fujiwara,1969,,3rd March 1948 (age 74),,
27515,Kanna Shinmei,123 lbs. (56 kg) at 5'5'' (1.65 m),Kanagawa (Japan),KANNA ,30th January 2013 (9 years ago),,7th April 1996 (age 25),,
27516,unknown,265 lbs. (120 kg) at 6'4'' (1.93 m),"Philadelphia, Pennsylvania (United States of America)",Samurai Warrior,,,11th July 1960 (age 61),,
27517,unknown,165 lbs. (75 kg) at 5'8'' (1.73 m),Japan,Daichi Kazato,,,13th July 1987 (age 34),,
27518,unknown,179 lbs. (81 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",Masayuki Mitomi,2012,,2nd August 1989 (age 32),,
27519,Chikage Kiba,,"Tokyo, Tokyo (Japan)",Chikage Kiba ,30th January 2013 (9 years ago),4'11'' (1.50 m),2nd July 1995 (age 26),,
27521,unknown,213 lbs. (97 kg) at 6'1'' (1.85 m),,Tonic,2004,,,,
27523,unknown,172 lbs. (78 kg) at 5'11'' (1.80 m),Japan,Taiyo Yoneda,29th April 2013 (8 years ago),,,,
27524,unknown,139 lbs. (63 kg) at 5'5'' (1.65 m),Ehime (Japan),Akane Fujita ,22nd May 2013 (8 years ago),,3rd January 1987 (age 35),,
27525,Michael Senica,,"Doylestown, Pennsylvania (United States of America)",Mike Flyte,2004,6'2'' (1.88 m),26th April 1969 (age 52),,
27526,Nathan Bull,175 lbs. (79 kg) at 5'10'' (1.78 m),"Panama City, Florida (United States of America)",Nathan Beast,25th October 2003 (18 years ago),,17th January 1984 (age 38),,
27527,unknown,249 lbs. (113 kg) at 6'0'' (1.83 m),United States of America,Flash Wheeler,1996,,20th June 1976 (age 45),,
27528,unknown,,Mexico,Lady Terrorista ,,,,,
27530,Bryant Theodile,,,Bryan Theodile,,,1962,15th January 2009,
27531,unknown,176 lbs. (80 kg) at 5'5'' (1.65 m),"Tijuana, Baja California (Mexico)",El Profanador,,,8th February ???,,
27533,unknown,,"Torreón, Coahuila de Zaragoza (Mexico)",Limbader,,,,,
27534,unknown,235 lbs. (107 kg) at 6'1'' (1.85 m),United States of America,Kyle the Beast,,,,,
27535,unknown,,"Edison, New Jersey (United States of America)",Eddie Franken,,,,,
27537,Andres Cabrera,225 lbs. (102 kg) at 6'0'' (1.83 m),,Che Cabrera,??th January 2012,,24th July 1988 (age 33),,
27539,unknown,,"Flint, Michigan (United States of America)",Spike López,,,6th October ???,,
27541,unknown,201 lbs. (91 kg) at 6'0'' (1.83 m),United States of America,Gregory Edwards,,,,,
27542,unknown,,"Pleasant Garden, North Carolina (United States of America)",Chasity Taylor ,,,,,
27544,unknown,168 lbs. (76 kg) at 6'0'' (1.83 m),"Durham, North Carolina (United States of America)",Crash Davis,14th December 2012 (9 years ago),,25th April ???,,
27545,Takashi Doi,220 lbs. (100 kg) at 5'10'' (1.78 m),"Kawasaki, Kanagawa (Japan)",Koji Doi,24th November 2011 (10 years ago),,11th February 1990 (age 32),,
27548,unknown,243 lbs. (110 kg) at 6'1'' (1.85 m),"Motosu, Gifu (Japan)",Hiroki Maruse,3rd February 2013 (9 years ago),,,,
27549,unknown,172 lbs. (78 kg) at 5'9'' (1.75 m),"Ichinomiya, Aichi (Japan)",Yoshihiro Horaguchi,1st September 2012 (9 years ago),,1982,,
27552,unknown,350 lbs. (159 kg) at 5'11'' (1.80 m),San Juan (Puerto Rico),Angel Camacho,2009,,27th September ???,,
27553,unknown,280 lbs. (127 kg) at 6'0'' (1.83 m),,Tre,1991,,,,
27555,unknown,,,Haruo Murata,,,,,
27557,unknown,,,Ken Suzuki,,,,,
27559,unknown,121 lbs. (55 kg) at 5'4'' (1.63 m),Japan,Daisuke Kiso,,,24th January 1978 (age 44),,
27560,unknown,,,Jack Dundee,,,,,
27561,Corey Maclin,,,Corey Maclin,,,1970,30th July 2013,
27562,unknown,,,Stedman Clarke,,,??th January 1934,3rd August 2011,
27563,David Cummings,160 lbs. (73 kg) at 5'10'' (1.78 m),United States of America,David Cummings,1985,,,,
27564,Bob Artese,,"Springfield, Pennsylvania (United States of America)",Bob Artese,,,,,
27567,unknown,106 lbs. (48 kg) at 5'7'' (1.70 m),Mexico,Black Belt,4th December 2011 (10 years ago),,11th July 1991 (age 30),,
27569,Nobumitsu Osawa,154 lbs. (70 kg) at 5'7'' (1.70 m),"Noda, Chiba (Japan)",Nobumitsu Osawa,26th February 2011 (11 years ago),,3rd July 1986 (age 35),,
27570,Yoshifumi Nakamura,143 lbs. (65 kg) at 5'3'' (1.60 m),"Ryugasaki, Ibaraki (Japan)",Yoshifumi Nakamura,3rd November 2009 (12 years ago),,29th June 1988 (age 33),,
27571,Bill Judd,224 lbs. (102 kg) at 6'0'' (1.83 m),Pennsylvania (United States of America),Jack Stud,1992,,6th June 1970 (age 51),,
27572,Juan Avalos Parreño,,"Padilla, Tamaulipas (Mexico)",Johnny el Pulpo,1972,,28th April 1955 (age 66),,
27574,unknown,,United States of America,Juan Roman,,,,,
27575,Tommy Wageman,185 lbs. (84 kg) at 5'9'' (1.75 m),"Odessa, Texas (United States of America)",Terry Pantera,1992,,29th December ???,,
27576,unknown,,,Rick Jimbo Radical,,,,,
27577,Michael Vess,,,Mikey Valentino,,,,,
27578,Michael Todd Fuller,,,Commissioner Mike,,,21st August 1977,6th October 2007,
27579,Charles Ray Meserole,,"Fairfield, Illinois (United States of America)",Gary Lawler,,,12th June 1954,15th July 2013,
27580,William Franklin Hess Sr.,220 lbs. (100 kg) at 5'11'' (1.80 m),"Columbus, Ohio (United States of America)",Dapper Dan,,,10th September 1936,13th July 2013,
27582,Garrette Dylewski,,"Mishawaka, Indiana (United States of America)",Gary Gold,1985,,,22nd July 2013,
27585,unknown,,Hidalgo (Mexico),De Luto #4,,,,,
27586,Leonardo Pérez Flores,,Mexico,Federal,1998,,1971,,
27587,Juan García Hernández,,Mexico,Federal #2,2003,,1983,,
27588,unknown,,Mexico,Federal #3,,,,,
27589,Kenta Sakuma,132 lbs. (60 kg) at 5'8'' (1.73 m),Chiba (Japan),Kenta Sakuma,11th December 2010 (11 years ago),,3rd March 1987 (age 35),,
27590,Koshi Matsumoto,155 lbs. (70 kg) at 5'7'' (1.70 m),"Kadoma, Osaka (Japan)",Koshi Matsumoto,31st January 2009 (13 years ago),,12th July 1983 (age 38),,
27591,Hideto Okada,132 lbs. (60 kg) at 5'7'' (1.70 m),"Hadano, Kanagawa (Japan)",Hideto Okada,26th February 2011 (11 years ago),,8th July 1986 (age 35),,
27592,Shin Kochiwa,154 lbs. (70 kg) at 5'8'' (1.73 m),Tokyo (Japan),Shin Kochiwa,28th June 2006 (15 years ago),,29th June 1980 (age 41),,
27593,Akinobu Watanabe,123 lbs. (56 kg) at 5'3'' (1.60 m),"Odawara, Kanagawa (Japan)",Akinobu Watanabe,20th May 2009 (12 years ago),,9th June 1983 (age 38),,
27594,unknown,,,Dominic Muscatello,,,,,
27595,Takayuki Kobayashi,154 lbs. (70 kg) at 6'0'' (1.83 m),Tottori (Japan),Takayuki Kobayashi,16th May 2010 (11 years ago),,10th March 1983 (age 39),,
27596,unknown,243 lbs. (110 kg) at 5'10'' (1.78 m),,Georg Gwärch,,,,,
27597,Kenji Yamamoto,132 lbs. (60 kg) at 5'6'' (1.68 m),Tokyo (Japan),Kenji Yamamoto,19th November 2010 (11 years ago),,15th May 1984 (age 37),,
27598,Andy Eisenhauer,,,Ike Andrews,1991,,,,
27600,unknown,176 lbs. (80 kg) at 6'2'' (1.88 m),"Düsseldorf, Nordrhein-Westfalen (Germany)",Juken,30th July 2011 (10 years ago),,28th March 1983 (age 38),,
27602,unknown,194 lbs. (88 kg) at 5'10'' (1.78 m),Bangkok (Thailand),P-Nutz,27th September 2012 (9 years ago),,3rd October 1984 (age 37),,
27603,unknown,236 lbs. (107 kg) at 5'9'' (1.75 m),Bangkok (Thailand),E.K. Buggy,6th September 2012 (9 years ago),,23rd August 1986 (age 35),,
27605,George T. Pickard,,Maine (United States of America),George Taylor,,,29th September 1903,25th March 1984,
27607,Joseph Honeycutt,,United States of America,Steel Dawson,,,,,
27608,unknown,,Tamaulipas (Mexico),Impulso,,,,14th August 2013,
27609,James William Vick,155 lbs. (70 kg) at 6'3'' (1.91 m),"Olney, Texas (United States of America)",James Vick,18th June 2011 (10 years ago),,23rd February 1987 (age 35),,
27610,unknown,,"Reynosa, Tamaulipas (Mexico)",Komander,,,15th December 1998 (age 23),,
27611,unknown,,Tamaulipas (Mexico),El Hijo del Máscara Roja,,,,,
27612,unknown,,Tamaulipas (Mexico),Máscara Roja Jr.,,,,,
27613,unknown,,Tamaulipas (Mexico),El Signo de Oro,,,,,
27614,unknown,,"Reynosa, Tamaulipas (Mexico)",El Signo de Plata,,,18th February 1994 (age 28),,
27615,unknown,200 lbs. (91 kg) at 6'0'' (1.83 m),"Chicago, Illinois (United States of America)",Mat Russo,,,13th October 1988 (age 33),,
27617,Wayne Studigel,237 lbs. (108 kg) at 6'3'' (1.91 m),,Wayne Woo,1994,,,,
27618,unknown,,Japan,Keiko Hirose,,,,,
27619,Jeremy Fitch,347 lbs. (157 kg) at 6'3'' (1.91 m),Illinois (United States of America),Frank Wyatt,??th October 2011,,,,
27620,unknown,,Japan,Tomo Taniguchi,,,,,
27621,unknown,,Indiana (United States of America),Kasey Kastle,,,16th August ???,,
27622,unknown,,,Nicolai Gotchanski,,,,,
27623,Rosario Silva Tuxpan,,Veracruz de Ignacio de la Llave (Mexico),Charito Silva ,29th July 1965 (56 years ago),,1st January 1948,10th April 2021,
27625,unknown,,,Martin Stanley Fuqua,,,,,
27627,unknown,95 lbs. (43 kg) at 4'9'' (1.45 m),Nagano (Japan),Koyuki Hayashi ,10th August 2013 (8 years ago),,8th June 1983 (age 38),,
27628,unknown,106 lbs. (48 kg) at 5'2'' (1.57 m),Japan,Kyuri ,28th October 2012 (9 years ago),,28th May 1998 (age 23),,
27629,unknown,175 lbs. (79 kg) at 5'8'' (1.73 m),,Troy Stevens,,,,,
27630,unknown,163 lbs. (74 kg) at 5'8'' (1.73 m),"Sapporo, Hokkaido (Japan)",Osuuma,16th June 2013 (8 years ago),,15th January 1990 (age 32),,
27631,unknown,,,Chief Atta Kulla Kulla,4th July 1986 (35 years ago),,5th March 1966 (age 56),,
27632,unknown,,,Steve Stasiak,,,,,
27633,Alejandro Alcala,163 lbs. (74 kg) at 5'8'' (1.73 m),"Aguascalientes, Aguascalientes (Mexico)",Gallo Boy Z,1998,,23rd January 1977 (age 45),,
27635,unknown,,,Tommy Mack,,,,,
27637,unknown,220 lbs. (100 kg) at 5'9'' (1.75 m),United States of America,Ray Alexander,,,,,
27639,Anthony Gregory Hertel,210 lbs. (95 kg) at 5'10'' (1.78 m),"Dyersburg, Tennessee (United States of America)",Greg Anthony,??th January 2001,,5th June 1981 (age 40),,
27640,unknown,285 lbs. (129 kg) at 6'4'' (1.93 m),United States of America,Ken Steel,,,,,
27641,Alan Lamb,237 lbs. (108 kg) at 6'0'' (1.83 m),"Memphis, Tennessee (United States of America)",Alan Steele,2nd April 1999 (22 years ago),,,,
27642,unknown,190 lbs. (86 kg) at 5'9'' (1.75 m),"Asheville, North Carolina (United States of America)",Chrisifix,,,,,
27644,unknown,225 lbs. (102 kg) at 5'10'' (1.78 m),United States of America,Ron Falco,,,,,
27645,unknown,205 lbs. (93 kg) at 6'3'' (1.91 m),United States of America,Doyle Day,,,,,
27646,Joshua Lee Blanchard,240 lbs. (109 kg) at 5'11'' (1.80 m),"Lima, Ohio (United States of America)",Slim Trimmons,1999,,4th March 1979 (age 43),,
27648,unknown,245 lbs. (111 kg) at 6'4'' (1.93 m),"Columbia, South Carolina (United States of America)",Brady Pierce,,,26th June 1991 (age 30),,
27650,Daniel Dudkiewicz,220 lbs. (100 kg) at 6'0'' (1.83 m),California (United States of America),Big Duke,,,13th September 1985 (age 36),,
27651,Kenneth Clifton Johns,,,Johnny Ringo,,,,19th December 2013,
27654,unknown,,Mexico,Aeronix,,,,,
27655,unknown,,"Ciudad de México, Ciudad de México (Mexico)",SWAT,,,,,
27656,Brandon Thatch,170 lbs. (77 kg) at 6'2'' (1.88 m),"Denver, Colorado (United States of America)",Brandon Thatch,13th June 2008 (13 years ago),,11th July 1985 (age 36),,
27657,unknown,,"Toronto, Ontario (Canada)",Alexxa Flood,,,,,
27659,unknown,,"London, Greater London, England (United Kingdom)",Dave Legeno,,,12th October 1963,??th July 2014,
27660,unknown,,,Keiko Furuta,,,,,
27661,unknown,,,Joe Kane,1994,,,,
27662,John Bolton,,,Snake Brody,,,,,
27663,unknown,,,Punchy McGee,,,,,
27670,unknown,,"Tlalnepantla de Baz, Estado de México (Mexico)",Extasis ,19th April 2010 (11 years ago),,,,
27672,Nikita Krylov,245 lbs. (111 kg) at 6'3'' (1.91 m),Donezk (Ukraine),Nikita Krylov,27th July 2012 (9 years ago),,7th March 1992 (age 30),,
27673,unknown,,Mexico,El Hijo del Ángel,,,,,
27674,unknown,,,Johnny Blast,1991,,,,
27676,unknown,,,Lance Erikson,,,,,
27680,Howard Saunders,,,Cosmic Commander,,,13th January 1962,18th August 2013,
27682,Rachel Kelvington,110 lbs. (50 kg) at 5'4'' (1.63 m),"Pittsburgh, Pennsylvania (United States of America)",Ray Lyn ,4th September 2013 (8 years ago),,14th October 1988 (age 33),,
27683,Al Hayes,210 lbs. (95 kg) at 5'10'' (1.78 m),"Austin, Texas (United States of America)",Tony Vega,,,,,
27684,Eliseo Garza Jr.,,"Mission, Texas (United States of America)",Charley Garza,,,8th August 1928,8th November 2011,
27685,Marianne Paterson,,United States of America,Envy ,,,,,
27686,Daniel Garcilazo,159 lbs. (72 kg) at 5'7'' (1.70 m),Argentina,Hip Hop Man,10th December 2004 (17 years ago),,3rd November 1983 (age 38),,
27687,Demetrio Gracilazo,,,Demetrio el Gladiador,,,15th January 1961 (age 61),,
27688,unknown,,Argentina,Mosca,,,,,
27689,Óscar Ignacio Arismendi,,,Rudo Valdez,1964,,21st February 1951,27th April 2015,
27694,Bob D. Beasly,,"Bixby, Oklahoma (United States of America)",Bob Beasly,,,7th December 1940,21st May 2009,
27697,unknown,,,Wilson Kane,,,,,
27698,Roger Jaime,,,C. C. Poison,,,,,
27699,Mark Dykstra Jr.,,,The DeeVaa,,,,,
27700,unknown,230 lbs. (104 kg) at 5'9'' (1.75 m),"Philadelphia, Pennsylvania (United States of America)",Firefighter Adrian,,,,,
27702,Víctor García Hernández,,Puebla (Mexico),Black Fénix,1993,,,,
27708,unknown,,"Ciudad de México, Ciudad de México (Mexico)",El Ídolo,,,4th January ???,,
27709,unknown,,Ciudad de México (Mexico),Alas de Acero,,,17th May 1989 (age 32),,
27710,unknown,,"Aguascalientes, Aguascalientes (Mexico)",El Aliado del Dios,,,,,
27711,unknown,,Mexico,Viridiana ,,,,,
27712,David Kawelkewics,,,Skull Koloff,,,,,
27713,Jesús Méndez Granillo,,"Juárez, Chihuahua (Mexico)",Loco Mendez,1958,,19th February 1933,27th March 2001,
27714,Frenchy Bernard,,Quebec (Canada),Frenchy Bernard,,,20th June 1936,16th September 2013,
27715,Mika Hayashi,172 lbs. (78 kg) at 5'4'' (1.63 m),"Arida, Wakayama (Japan)",Mika ,11th November 2005 (16 years ago),,28th August 1976 (age 45),,
27717,unknown,172 lbs. (78 kg) at 5'11'' (1.80 m),"Córdoba, Veracruz de Ignacio de la Llave (Mexico)",Duende Acosta Jr.,29th December 2007 (14 years ago),,15th June 1991 (age 30),,
27722,unknown,,Puebla (Mexico),Paris,,,,,
27723,unknown,,,Misteriko Yamato,,,,,
27725,Satoshi Muramatsu,,Shimane (Japan),Crusher Muramatsu,,,,,
27727,Fabián Franco Ojeda,,"Nezahualcóyotl, Estado de México (Mexico)",Ciclón Black,2006,,9th November 1987 (age 34),,
27728,Rob Koroluk,220 lbs. (100 kg) at 5'10'' (1.78 m),"Yorkton, Saskatchewan (Canada)",Robbie Gamble,??th June 2010,,,,
27730,unknown,253 lbs. (115 kg) at 6'0'' (1.83 m),Manitoba (Canada),Thryllin' Dylan,1997,,1982,,
27731,unknown,270 lbs. (122 kg) at 6'1'' (1.85 m),"Regina, Saskatchewan (Canada)",Bull Bodnar,,,,,
27732,unknown,210 lbs. (95 kg) at 5'10'' (1.78 m),Yukon (Canada),Brett Evans,,,,,
27733,unknown,212 lbs. (96 kg) at 6'1'' (1.85 m),Manitoba (Canada),Michael Allen Richard Clark,,,,,
27734,unknown,237 lbs. (108 kg) at 6'3'' (1.91 m),"Regina, Saskatchewan (Canada)",Dice Steele,,,,,
27735,unknown,190 lbs. (86 kg) at 5'7'' (1.70 m),,El Asesino,,,,,
27737,unknown,139 lbs. (63 kg) at 5'3'' (1.60 m),Japan,Yako Fujigasaki ,11th August 2013 (8 years ago),,8th May 1997 (age 24),,
27738,unknown,,"Kingston, Ontario (Canada)",Catalyst,,,,,
27740,Jesús Cobos,,Mexico,Éxodo,,,,,
27741,Noé Chávez Reyes,,"Ciudad de México, Ciudad de México (Mexico)",El Latino,2003,,1974,,
27742,unknown,,Mexico,Ángel Niño de Plata,,,,,
27743,unknown,,Canada,Nicky Martin,,,,,
27744,Jeffery James,,,Major Crunk,,,,28th September 2013,
27745,Michael James Montour Jr.,,"St. Paul, Minnesota (United States of America)",Lumberjack Mike,,,14th February 1985,26th September 2013,
27746,unknown,280 lbs. (127 kg) at 6'4'' (1.93 m),Canada,Bulldog MacBain,,,,,
27747,unknown,300 lbs. (136 kg) at 6'3'' (1.91 m),Canada,Primate Silverback,,,,,
27748,unknown,190 lbs. (86 kg) at 6'0'' (1.83 m),Canada,Sydney Steele,,,14th March 1988 (age 34),,
27749,Greg Kershaw,175 lbs. (79 kg) at 5'9'' (1.75 m),Canada,Deathwish,,,,,
27750,unknown,310 lbs. (141 kg) at 6'3'' (1.91 m),Canada,Irishman,,,,,
27751,unknown,245 lbs. (111 kg) at 6'2'' (1.88 m),Canada,Krazy Kore,,,,,
27752,unknown,260 lbs. (118 kg) at 6'6'' (1.98 m),"Houston, Texas (United States of America)",Aaron Frost,,,,,
27753,Jason Green,180 lbs. (82 kg) at 5'8'' (1.73 m),,Raunchy Jules,,,,,
27754,Cornelius Lee Godfrey,,"Columbus, Ohio (United States of America)",Cornelius Godfrey,,,5th July 1988,5th September 2013,
27755,Yerandy Violeta Cañete Hernández,,"Ciudad de México, Ciudad de México (Mexico)",Sadic Maiden ,,,15th March 1993 (age 29),,
27757,Ayame Higuchi,110 lbs. (50 kg) at 5'5'' (1.65 m),"Suzaka, Nagano (Japan)",Ayame Yabe ,31st August 2013 (8 years ago),,14th June 1993 (age 28),,
27758,Paul Van Dale,,United States of America,Paul Van Dale,,,,,
