,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
28372,unknown,,New York (United States of America),Ian Daniels,2005,,,,200 lbs. (91 kg)
28373,unknown,201 lbs. (91 kg) at 5'11'' (1.80 m),"Bethel, Connecticut (United States of America)",Brian Anthony,20th August 2004 (17 years ago),,,,
28374,unknown,,,Etanna,2008,,,,330 lbs. (150 kg)
28375,unknown,,,Roman Dominguez,2000,,,,232 lbs. (105 kg)
28376,unknown,,New York (United States of America),Drake Evans,2000,,,,235 lbs. (107 kg)
28377,unknown,,,Good Lord Willing,2004,,,,
28378,unknown,,"Saratoga Springs, New York (United States of America)",Jamar Justice,2009,,,,257 lbs. (117 kg)
28379,unknown,,,Liam McFerrin,2010,,,,
28380,unknown,,United States of America,Michael Monroe,,,,,185 lbs. (84 kg)
28381,unknown,,,Ronnie Ribs,,,,,235 lbs. (107 kg)
28382,unknown,,,Rickety Rocket,2011,,,,151 lbs. (68 kg)
28383,unknown,,,Sgt. Fury,,,,,205 lbs. (93 kg)
28384,unknown,,New York (United States of America),Damon Ravage,,,,,200 lbs. (91 kg)
28385,unknown,,,Fronz Roddy,2003,,,,228 lbs. (103 kg)
