,Date,Match,Promotion,Event,Rating,# of teams,Team Size,PPV,Wrestler 1,Wrestler 2,Wrestler 3,Wrestler 4,Wrestler 5,Wrestler 6,Wrestler 7,Wrestler 8,Wrestler 9,Wrestler 10,Wrestler 11,Wrestler 12
101,"September 21, 2014",Hiroshi Tanahashi vs. Katsuyori Shibata,NJPW,Destruction in Kobe,5,2,1,FALSE,Hiroshi Tanahashi,Katsuyori Shibata,,,,,,,,,,
102,"January 4, 2015",Shinsuke Nakamura vs. Kota Ibushi,NJPW,Wrestle Kingdom 9,5,2,1,TRUE,Shinsuke Nakamura,Kota Ibushi,,,,,,,,,,
103,"February 14, 2015",Tomoaki Honma vs. Tomohiro Ishii,NJPW,The New Beginning in Sendai,5,2,1,TRUE,Tomoaki Honma,Tomohiro Ishii,,,,,,,,,,
104,"August 16, 2015",Hiroshi Tanahashi vs. Shinsuke Nakamura,NJPW,G1 Climax 25 Final,5,2,1,TRUE,Hiroshi Tanahashi,Shinsuke Nakamura,,,,,,,,,,
105,"January 4, 2016",Kazuchika Okada vs. Hiroshi Tanahashi,NJPW,Wrestle Kingdom 10,5,2,1,TRUE,Kazuchika Okada,Hiroshi Tanahashi,,,,,,,,,,
106,"August 6, 2016",Kazuchika Okada vs. Tomohiro Ishii,NJPW,G1 Climax 26Night 13,5,2,1,TRUE,Kazuchika Okada,Tomohiro Ishii,,,,,,,,,,
107,"August 13, 2016",Kenny Omega vs. Tetsuya Naito,NJPW,G1 Climax 26Night 18,5,2,1,TRUE,Kenny Omega,Tetsuya Naito,,,,,,,,,,
108,"September 3, 2016","Superkliq (Adam Cole, Matt Jackson and Nick Jackson) vs. Matt Sydal, Ricochet, and Will Ospreay",PWG,Battle of Los AngelesNight 2,5,2,3,TRUE,Adam Cole,Matt Jackson,Nick Jackson,Matt Sydal,Ricochet,Will Ospreay,,,,,,
109,"January 4, 2017",Kazuchika Okada vs. Kenny Omega,NJPW,Wrestle Kingdom 11,6,2,1,TRUE,Kazuchika Okada,Kenny Omega,,,,,,,,,,
110,"February 11, 2017",Tetsuya Naito vs. Michael Elgin,NJPW,The New Beginning in Osaka,5,2,1,TRUE,Tetsuya Naito,Michael Elgin,,,,,,,,,,
