,Real Name,Birthplace,wrestler_name,Date of Birth,Debut,Weight and Height,Date of Death,Height,Weight
29285,unknown,Oklahoma (United States of America),Clint Cox,22nd December ???,11th May 2013 (8 years ago),205 lbs. (93 kg) at 6'0'' (1.83 m),,,
29286,unknown,"Bristow, Oklahoma (United States of America)",Angie Welch,25th January ???,14th June 2013 (8 years ago),,,5'7'' (1.70 m),
29287,unknown,,That Handsome Devil,6th June ???,29th December 2012 (9 years ago),185 lbs. (84 kg) at 6'1'' (1.85 m),,,
29288,unknown,Oklahoma (United States of America),Joey Stixx,4th January ???,17th August 2013 (8 years ago),196 lbs. (89 kg) at 6'3'' (1.91 m),,,
29289,unknown,,Mike Adams,,,,,,
29290,unknown,"Reading, Pennsylvania (United States of America)",Mathmagician,,,,,,
29291,unknown,"Chicago, Illinois (United States of America)",Mable Monroe,14th July ???,??th September 2013,,,5'7'' (1.70 m),
29292,unknown,,Buster Cherry,20th August ???,10th August 2013 (8 years ago),,,,
29293,unknown,,Marce Lewis,,,180 lbs. (82 kg) at 5'5'' (1.65 m),,,
29294,unknown,,Akbar Farat,12th December ???,??th May 2012,230 lbs. (104 kg) at 6'2'' (1.88 m),,,
29295,unknown,Mississippi (United States of America),Lumberjack Lambert,24th October ???,??th June 2000,300 lbs. (136 kg) at 6'7'' (2.01 m),,,
29296,unknown,"Oklahoma City, Oklahoma (United States of America)",Brandon Barricade,9th March ???,??th May 1999,300 lbs. (136 kg) at 6'0'' (1.83 m),,,
29297,unknown,"Baton Rouge, Louisiana (United States of America)",Bill Lebeaux,15th January ???,??th August 2009,225 lbs. (102 kg) at 6'0'' (1.83 m),,,
29299,Daigo Matsukama,,Pandita Nuevo,,25th July 2014 (7 years ago),,,,
29302,Jonathan Stuart Leibowitz,"New York City, New York (United States of America)",Jon Stewart,28th November 1962 (age 59),,,,,
29304,William Earl Sweikert Jr.,"Vallejo, California (United States of America)",Bill Sweikert,22nd October 1921,,,2nd August 2002,,
29305,George Theodoratos,"Lincoln, California (United States of America)",George Theodoratos,23rd April 1912,,240 lbs. (109 kg) at 6'2'' (1.88 m),26th March 1970,,
29306,unknown,"San Bernardino Contla, Tlaxcala (Mexico)",Astro Aéreo Jr.,,,,,,
29307,Lloyd Jerry Hollis,Oregon (United States of America),Jerry Hollis,1914,,,XXXX,,
29308,unknown,Hidalgo (Mexico),Rudy Valentino,17th October 1942 (age 79),1959,,,,
29309,Louis T. Collichio,,Louie Collichio,4th October 1916,,,8th December 2009,,
29311,unknown,"Ciudad de México, Ciudad de México (Mexico)",Tupac Amaru Jr.,22nd September 1982 (age 39),,,,,
29312,unknown,Mexico,Selva Salvaje ,31st October 1983 (age 38),,,,,
29313,unknown,Puebla (Mexico),King Rocker,,,,,,
29314,unknown,Puebla (Mexico),King Rocker Jr.,10th February 1990 (age 32),,,,,
29317,Pedro Serrano González,,Muralla del Ring,,,,,,
29318,Donnie Lee Watson Jr.,,Johnny Deacon,1971,,,12th March 2015,,
29319,Larry Leon Croy,"Marietta, Georgia (United States of America)",Larry Croy,22nd October 1964,,,11th October 2014,,
29320,Howard Hosler,,Howard Hosler,,,,,,
29323,unknown,"Guadalajara, Jalisco (Mexico)",El Hijo del Calavera,28th December 1976 (age 45),,,,,
29324,unknown,"Monterrey, Nuevo León (Mexico)",Última Sombra,19th September 1991 (age 30),2013,180 lbs. (82 kg) at 5'9'' (1.75 m),,,
29325,unknown,"Monterrey, Nuevo León (Mexico)",Maravilla Azteca,15th March ???,,,,,
29326,Jamie Moyle,"Orlando, Florida (United States of America)",Jamie Moyle ,,1st November 2014 (7 years ago),115 lbs. (52 kg) at 5'1'' (1.55 m),,,
29327,Irene Aldana,"Culiacán, Sinaloa (Mexico)",Irene Aldana ,26th March 1988 (age 33),17th October 2012 (9 years ago),135 lbs. (61 kg) at 5'9'' (1.75 m),,,
29328,Amy Montenegro,"Issaquah, Washington (United States of America)",Amy Montenegro ,1st November 1983 (age 38),11th May 2013 (8 years ago),115 lbs. (52 kg) at 5'4'' (1.63 m),,,
29329,Alexa Grasso,"Guadalajara, Jalisco (Mexico)",Alexa Grasso ,9th August 1993 (age 28),19th December 2012 (9 years ago),115 lbs. (52 kg) at 5'5'' (1.65 m),,,
29330,unknown,"Regina, Saskatchewan (Canada)",Charmaine Tweet ,30th April 1977 (age 44),17th June 2011 (10 years ago),155 lbs. (70 kg) at 6'0'' (1.83 m),,,
29331,DeAnna Bennett,"Orem, Utah (United States of America)",DeAnna Bennett ,18th October 1984 (age 37),24th February 2012 (10 years ago),125 lbs. (57 kg) at 5'4'' (1.63 m),,,
